og_representation,mapping,confusion,frequency
अापस,Aapas,,13
आईएनएस,INS,,14
आईकॉन,Icon,,14
आईजी,IG,,13
आकाशवाणी,Akashvani,,20
आग,Aag,,13
आगरा‚,"Agra,",y,12
आच्छादित,Aacchadit,,19
आजम,Aajam,,12
आजमपाडा,Aajampada,,15
आजमपुर,Ajampur,,18
आजमाबाद,Aajmabad,,16
आठवॉ,8,y,22
आद,Aad,,11
आदित्य,Aditya,,18
आधार,Aadhar ,,20
आनंद,Anand ,,21
आनन्दकुंज,Anandkunj,,13
आनन्दपुरी,Anandpuri,,23
आबदी,Aabadi,,20
आयत,Aayat,,23
आयातों,Aayato,,22
आयुष,Aayush ,,13
आयुषी,Aayushi,,17
आर०के०पुरम्,R K puram,y,18
आरबी,RB,,14
आरसीसी,RCC,,11
आरा,Aara,,11
आराज,Aaraj,,22
आराजीु,Aaraji ,y,15
आराधना,Aaradhana,,24
आर्ना,Aarna,,17
आर्मी,Army,,14
आँवलखेडा,Aanvalkheda,y,24
आँवलखेड़ा,Aanvalkheda ,y,18
आवासीयप्लाट,Aavasiy plot,,19
आवाासीय,Aavasiy,y,24
आशानगर,Asha nagar,,12
आशीष,Ashish,,17
आश्रय,Aashray,,12
आस्थान्जली,Aasthanjali,,14
इकरामनगर,Ikram nagar,,14
इटौरा‚,"Itaura,",y,16
इण्टर,Inter,,21
इण्‍टर,Inter,,14
इन्‍कलेव,Enclave,,22
इन्क्लेब,Enclave,,24
इन्टरनिटी,Internity,y,24
इन्द्रापुरम,Indrapuram,,15
इन्फिनिटी,Infinity,,18
इम्‍लाक,Imlak,,12
इशरत,Ishrat,,12
इसके,Iske,,14
इस्टेट,Estate,,15
इस्‍लाम,Islam,,20
इ्,E,y,11
ई०डव्लू०एस०,EWS,y,13
ई२,,y,13
ईडब्लू,EW,,22
ईडब्‍लूएस,EWS,,15
ईडब्ल्यू,EW,,11
ईडव्लूएस,EWS,,22
ईदगाह,Idgah,,19
उत्‍तर,Uttar,,12
उत्तरीभाग,Uttari bhag,,14
उत्तू,Uttu,,12
उदित,Udit,,15
उन्देरा,Undera,,15
उन्‍नति,Unnati,,16
उपनाम,Upnam,,13
उपर,Upar,,12
उपरोक्त,Uprokt,,16
उपाध्‍याय,Upadhyay ,,20
उपाध्‍यायपुरम,Upadhyaypuram ,,12
उमा,Uma,,16
उस,Us,,14
उसमानपुर,Usmanpur,,18
उस्मानपुर,Usmanpur,,15
उॅची,,y,15
ऊँची,Unchi,,14
ऊंची,Unchi,,12
ऊँट,Unt,,13
ऊर्फ,Urf,,13
ऊॅचा,Ucha,y,11
ए‚ई,"A,E",y,19
ए०के०,AK,Y,13
ए०बी०,AB,Y,13
ए‍क,1,,18
एकमंजिल,1 floor,,11
एंकलेव,Enclave,,14
एकिता,1,,22
एक्टेंशन,Extension ,,14
एंक्लेव,Enclave,,22
एक्‍स,Extension ,,18
एक्‍सटेन्‍सन,Extension ,,12
एक्सटेंसन,Extension,,19
एक्सटैंशन,Extension ,,24
एक्सिलेन्ट,Excellent ,,13
एक्‍सीलेंट,Excellent ,,15
एच‚,"H,",y,17
एटी,Eti,,21
एडक,Adak,,21
एडीए,ADA,,15
एनक्लेव,Enclave,,21
एनेक्सी,Anexi,y,23
एन्कलेव‚,"Enclave,",y,24
एन्कलैव,Enclave ,,16
एन्थम‚,"Anthem,",y,14
एपी,AP,,18
एप्रूव्ड,Approved ,,15
एफ०एफ०,FF,y,14
एफटी,FT,,11
एफोर्डेविल, ,y,14
एम०पी०,MP,y,13
एमपी,MP,,22
एमरेल्ड,Emerald ,,16
एमसी,MC,,18
एरकबा,Arakba,,15
एल०,L,y,13
एल०आई०जी,LIG,y,13
एल०एल०पी०,LLP,Y,12
एलजीएफ,LGF,,21
एलोरा,Ellora,y,19
एंव,Anv,y,22
एवलोन,Evlon,y,20
एस०एफ०,SF,y,17
एसई,SE,,16
एसएन,SN,,13
एसटी,ST,,11
एसबी,SB,,11
एस्‍टेट,Estate,,11
ए्कड,Acre,y,15
ऐ,A,,18
ऐवेन्यु,Avenue ,,11
ओझल,Ozal,,12
ओधोगिक,industrial,,13
ओपिन,Open,,24
ओफिस,Office ,,14
औधौगिक,Audhaugik,,16
औलेण्डा,Aulenda,,19
कक,Kak,,17
ककरेठा,Kakretha,,11
ककरैठा‚,"Kakraitha,",y,13
कक्ष,Kaksh,,23
कंचनपुर,Kanchanpur,,16
कचोरा,Kachora,,12
कटारा‚,"Katara,",y,22
कठवारी,Kathvari,,14
कनक,Kanak,,18
कनकोर,Kankor,,16
कनकौर,Kankaur,,12
कन्सट्रक्शंस,Constructions ,,15
कपडा,Kapda,,12
कबर्ड,Cupboard ,y,11
कबीर,Kabir,,12
कभाग,Kabhag,,24
कमर्शियल,Commercial ,,18
कम्पाउण्ड,Compound,,12
करकबा,Karakba,,13
करमना,Karamna,,16
कर्वड,Covered ,,14
कल,Kal,,16
कलस्टर,Cluster ,y,17
कला,Kala,,20
कलोनी,Colony ,,17
कस,Kas,,13
कंस,Kans,,20
कंसखार,Kanskhar,,18
कसाईपाडा,Kasaipada,,12
कसेरान,Kaseran,,13
कस्‍वा,Kasva,,20
का‚,"Ka,",y,23
काकुल,Kakul,,17
काजीपाडा,Kajupada,,11
काजुज,Kajuj,,21
काटेज,Cottage,,24
कात्यानी,Katyani,,13
कात्यायनी,Katyayani,,13
कादक्षिणी,Kadkshini,,18
कान,Kan,,12
कान्तापुरी,Kantapuri,,20
कापश्चिमी,Kapashchimi,y,12
कापूर्वी,Kapurvi,,24
काबेरी,Kaberi,,18
काभग,Kabhag,,22
कामधेनु,Kamdhenu,,16
कामना,Kamna,,12
कामर्शियल,Commercial ,,21
कार,Car,,19
कारकवा,Karakva,,19
कारपेट,Carpet ,,13
कार्य,Kary,,14
कालिन्‍दी,Kalindi ,,23
काले,Kale,,18
कालेानी,Colony,,13
कालेौनी,Colony,,11
कालैनी,Colony,,18
कालोनी‚,Colony,,15
कालौन,Colony,,22
काव्याजंलि,Kavyajanli,y,23
काव्याजंली,Kavyajanli ,y,16
काशीधाम,Kashi dham ,,22
काीााग,,y,23
काॅम,Com,,14
काॅम्पलैक्स,Complex ,,13
किक्रय,Kikray,,12
किताआराजी,Kita aaraji,,12
किताखाली,Kitakhali,,15
कितामकान,Kitamakan,,20
किताा,Kita,y,20
किदवई,Kodvai,y,17
किनारी,Kinari,,14
किरनबाग,Kiranbag,,12
किरायेनामा,Kirayenama,,13
किरायेशुदा,Kiraye shuda,,13
किलोमीटर,Kilometers,,11
किशोरपुरा,Kishorpura,,23
किात,,y,17
कीठम,Keetham,,23
कीमत,Keemat,,16
कुँज,Kunj,,17
कुंंज,Kunj,,12
कंुज,,y,16
कुंज‚,"Kunj,",y,22
कुठावली,Kuthavali,,19
कुण्ड,Kund,,19
कुण्‍डौल,Kundaul,,12
कुतलूपुर,Kutlupur,,12
कुमार,Kumar,,11
कुम्हेरिया,Kumheriya,,13
कुलक्षेत्रफल,Kul Kshaitrafal ,,20
कुलक्षै,Kulkshai,,16
कुलभाग,Kulbhag,,11
कुलरकबा,Kularakba,,13
कुशवाह,Kushvah,,18
कुषि,Kushi,,17
कुुल,Kul,,22
कूकन,Kukan,,15
कृष,Krush,,16
कृषि‍,Krushi,,12
कृष्ज्ञि,Krushidnya,y,21
कृष्‍ण,Krishna ,,23
कृष्‍णापुरी,Krishnapuri,,12
कृष्णावास,Krishnavas,,17
कृृषि,Krushi ,,16
के०ए०,KF,y,13
के०सी०,KC,y,12
केअपने,Ke apne,,15
केई,KI,y,15
केके,KK,,17
केला,Kela,,23
केशोपुरा,Keshopura,,14
कैमारवन,Kaimarvan,,18
कैलाकुंज,Kailakunj,,15
कॉ,Ko,y,12
कॉटेज,Cottage,,24
कॉमर्सियल,Commercial ,,14
कॉम्प्लैक्स,Complex ,,12
कॉलाेनी,Colony,,13
कोटला,Kotla,,16
कोमल,Komal,,11
कोयला,Koyla,,14
कोरपोरेशन,Corporation ,,13
कोल्ड,Cold,,17
कोसीखुर्द,Kosikhurd,,14
कौ०,,y,19
कौलक्खा‚,Kaulkkha,,14
कौलोनी,Colony,,16
कौशलपुर,Kaushalpur,,21
कौशलपुरी,Kaushalpuri,,15
क्योक्स,Kyoks,,18
क्र०,,y,12
क्रष्‍णा,Krashana,,19
क्रिएटिव,Creative ,,13
क्रेता,Kreta,,18
क्लाउड्स,Clouds ,,11
क्लास्सिक,Classic,,12
क्वालिटी,Quality ,,15
क्षरे,Kshare,,13
क्षे。,area,y,15
क्षें०,area,y,13
क्षेत्रफलल,area,,11
क्षेे०,area,y,22
क्षेेत्रफल,Kshetrafal ,,23
क्षैत्रुल,Kshaitrul,,15
क्ष्ेा,area,y,17
खं,Khan,y,20
खआदि,Khaadi,y,17
खण्डर,Khandar,,14
खण्डेलवाल,Khandelval,,14
खत,Khat,,15
खताा,Khata,y,12
खन्दारी,Khandari,,23
खम्बा,Khamba,,14
खयरा,Khayra,,11
खरवा,Kharsa,,13
खरसरा,Kharsa,,18
खरसा,Kharsa,,15
खस०,Khasar no,y,17
खसरन,Khasar no,,14
खसरनं,Khasar no,y,17
खसररा,Khasra,,20
ख़सरा,Khasra,,20
खंसरा,Khasra,,14
खसरार,Khasra,,13
खसराा,Khasra,y,20
खसरीा,Khasra,y,17
खससरा,Khasra,,22
खाँ,Khaun,y,17
खा०स०,,Y,12
खाताा,,y,14
खानपुर,Khanpur,,16
खाना,Khana,,12
खारिज,Kharij,,11
खिन्नी,Khinni,,22
खिल्लीपुरम,Khillipuram,,13
खेड़ा,Kheda,,19
खेडासांधन,Kheda sandhan,,14
खेरा,Khera,,12
खॉडा,Khoda,y,14
ख्राता,Khrata,,19
ख्राली,Khrali,,14
ख्वान्दिगान,Khwandigan,,23
ख्वासपुरा,Khwaspura,,13
ख्ेात,,y,15
गऊशाला,Gaushala,,20
गंगरौआ,Gangrauaa,y,15
गंगानगर,Ganga nagar,,24
गंगासिटी,Ganga city ,y,11
गंगे,Gange,,17
गढीमा,Gadhima,,15
गणेशसिटी,Ganesh city ,y,19
गनेशपुरी,Ganeshpuri,,22
गयी,Gayi,,22
गरुड,Garud,,14
गरुण,Garun,,12
गरूण,Garun,,13
गर्वी,Garvi,,13
गली‚,"Gali,",y,20
गव्रमी,Gavrami,,23
गव्रम्ी,,y,13
गहर्रा,Gaharra,,11
ग़ा०स०,Gat no,y,16
गाटाओं,Gatao,,14
गाटासंख्या,Gat no,y,16
गाटे,Gate,,18
गामरी‚,"Gamri,",y,18
गामैती,Gamaiti,,13
गारन्टी,Guarantee ,,13
गारापुर,Garapur,,13
गार्डेन,Garden ,,12
गाँव,Gaon,,14
गााटा,,y,11
गिरधरकुन्ज,Girdharkunj ,,21
गिरारा,Girara,,11
गिरि,Giri,,21
गिर्राज्,Girraj ,y,17
गुडकीमंडी,Gudkimandi,,20
गुम्‍मट,Gummat,,11
गुरूनानक,Guru nanak,,18
गूलर,Goolar,,19
गृहणी,Gruhni,,12
गृहस्थान,Gruhsthan,,13
गेस्ट,Guest,,12
गैराज,Garage ,,14
गैरेज,Garage ,,21
गैस,Gas,,21
गैस्ट,Guest ,,21
गो,Go,,12
गोकरननाथ,Gokran nath,,16
गोकुलनगर,Gokul nagar,,13
गोकुलपुरा,Gokulpura,,13
गोकुलम,Gokulam,,19
गोपालगढ,Gopalgadh,,12
गोपी,Gopi,,22
गोपेश्वर,Gopeshravar,y,23
गोबर,Gobar,,20
गोवर्धनधाम,Govardhan dham,,19
गोविंद,Govind,,13
गोविंदपुर,Govindpur,,15
गौर,Gaur,,12
गौरव,Gaurav,,15
गौरानगर,Gaura nagar,,13
गौरापाडा,Gaurapada,,19
ग्यारहवांतल,Gyarahvantal,y,14
ग्यासपुरा,Gyaspura,,12
ग्राउण्‍ड,Ground ,,15
ग्राण्ड,Grand,,17
ग्रामीण,Gramin,,22
ग्रेट,Great,,15
ग्लोबल,Global,,22
ग्वाला,Gwala,,20
ग्वालियर,Gwalior,,19
घटिया,Ghatiya,,13
घास,Ghas,,14
घेर,Gher,,18
घेरा,Ghera,,15
घौरौली,Ghaurauli,,12
च‚,"Ch,",y,12
चकबन्दी,Chakbandi,,17
चददर,Chaddar,,13
चन्‍द्र,Chandra,,23
चन्द्रपुरी,Chandrapuri,,22
चन्द्रा,Chandra,,23
चबूतरा,Chabutara,,22
चमारान,Chamaran,,24
चरन,Charan,,11
चर्तुथ,Chaturth,,11
चहारम,Chaharam,,18
चाहर,Chahar,,16
चाहरदीवारी,Chahar deewari,,19
चिरंजीलाल,Chiranjilal,,12
चिरहौली,Chirhauli,,16
चुरमुरा,Churmura,,11
चुरियारी,Churiyari,,17
चे,Che,,13
चेतन्य,Chetany,,13
चैकोरा,Chaikora,,13
चैतन्यलोक,Chaitanyalok,,24
चौ,Chau,,18
चौकडा,Chaukada,,15
चौदहवांतल,Chaudahavatal,y,15
चौमा,Chauma,,17
चौमाशाहपुर,Chaumashahpur,,19
छः,Chah,y,17
छटवांतल,Chatvantal,,18
छटा,6,y,16
छठवा,6,,13
छह,6,,13
छाता,Chata,,22
छाया,Chaya,,19
छूट,Chut,,18
छोटा,Chota,,21
जऊपुरा‚,"Jaupura,",y,14
जगदम्बा,Jagdamba,,18
जगदीश,Jagdish,,22
जगन,Jagan,,19
जगनपुर‚,"Jaganpur,",y,14
जगन्नाथधाम,Jagnnath dham,,12
जदीद,Jadid,,15
जनता,Janta,,22
जनूथा,Janutha,,18
ज़मीन,Jameen,,12
जमुनाबाग,Jamunabag,,16
जयधाम,Jay dham,,15
जयपुर,Jaipur ,,22
जयभगवती,Jay bhagvati,,12
जयराम,Jairam,,17
जाजौली,Jajauli,,13
जाट‚,"Jat,",y,17
जाटव,Jatav,,14
जाती,Jati,,13
जातो,Jato,,20
जाना,Jana,,16
जानी,Jani,,13
जाने,Jane,,20
जाय०,,y,12
जायदा,Jayda,,12
जायदाद‚,"Jaydad,",y,13
जाेे,Jo,,17
जिटोरा,Jitora,,17
जिटौरा,Jitaura,,14
जिनकी,Jinki,,12
जिसकाकुल,Jiska kul,,12
जी०एफ०,JF,y,17
जीन,Jin,,18
जीवन,Jeevan,,22
जीवनी,Jeevani,,22
जुज़,Juj,,14
जुुुज,Juj,,18
जूज,Juj,,23
जे‚,J,y,17
जे०पी०,JP,y,19
जेबी,JB,,14
जेरेहमाम,Jerehamam,,12
जैसवाल,Jaiswal ,,24
जोआपस,Jo aapas,,16
जोत,Jot,,21
जोती,Joti,,13
जोन्स,Jons,,17
ज्ञानसिंह,Dnyansinh,y,24
ज्योतिधाम,Jyoti dham,,19
ज्योतिपुरम,Jyotipuram ,,12
झाँसी,Jhansi,,12
टर,Tar,,22
टा,Ta,,15
टायप,Type,,18
टीकरी,Tikri,,13
टीनशैड,Teenshed,y,14
टीनसैट,Teensait,y,12
टीनसैड,Teenshed,y,23
टुण्डा,Tunda,,20
टेक्स,Tex,,16
टेड़ेश्वर,Tedeshravar,y,12
टेंथ,10,y,12
टेरा,Tera,,21
टेहू,Tehu,,20
ट्रान्‍स,Trans,,22
ट्रान्सपोर्ट,Transport,,22
ट्रांसपोर्ट,Transport,,17
ठ,Th,,16
ठठेरान,Thatheran,,16
ठाकुर,Thakur,,14
ठाकुरान,Thakuran,,15
ठारदंशी,Thardanshi,,14
ड‚,D,,19
डफोडिल्स,Dafodils,y,24
डबलू,W,,13
डब्लूएस,WS,,12
डब्‍ल्‍यू,W,,15
डब्ल्ू,W,y,16
डव्‍लू,W,,11
डहरुआ,Daharuaa,y,12
डायनामिक,Dynamic ,,17
डायविल,Daywill,y,19
डिग्री,Degree,,23
डिठवार,Dithvar,,15
डिफेंस,Defence,,17
डिसर्चाज,Discharge ,,19
डी०आर०,,y,13
डी०एस०,,y,14
डी०डी०,,y,13
डुप्लैक्स,Duplex ,,11
डेजी,Daisy,,12
डेसीमल,Decimal,,13
डैम्पीयर,Dampier ,,21
तकिया,Takiya,,13
तदाद,Tadad,,14
तदादी,Tadadi,,16
तन्हा,Tanha,,14
तमन्ना,Tamanna,,14
तमिरात,Tamirat,,19
तयशुदारकवा,Tayshuda rakva ,,16
तंरग,Tanrag,,23
तरह,Tarah,,16
ताजगंज‚,"Tajganj, ",y,12
ताजपुर,Tajpur,,20
तादा,Tada,,14
तानगढी,Tangadhi,,15
तारसी,Tarsi,,19
तालवन,Talvan,,13
तालाब,Talab,,19
तिकोनिया,Tikoniya,,18
तिरुपति,Tirupati ,,13
तिरूपति,Tirupati,,18
तिवारा,Tivara,,15
तृतिय,Trutiy,y,23
तेरहवा,13,,17
तेहरवां,13,,23
तैय,Taiy,,21
तोतानगर,Tota nagar,,24
तोश,Tosh,,20
तोषी,Toshi,,13
तौशी,Taushi,,22
तौषी,Taushi,,17
त्यागी,Tyagi,,22
त्रिलोक,Trilok,,18
त्रिवेनी,Triveni ,,17
थ,Th,,15
था,Tha,,12
थापर,Thapar,,12
थापी,Thapi,,19
द‚,"D,",y,24
दयानन्द,Dayanand,,18
दर्शनीय,Darshniy,,12
दर्शी,Darshi,,13
दलेल,Dalel,,11
दलेलनगर,Dalel nagar ,,13
दशमतल,Dashamtal,,13
दशवां,10,,18
दस,10,,19
दसवा,10,,18
दसवॉ,10,y,19
दह्तोरा,Dahtora ,,22
दाऊ,Dau,,22
दाऊदपुर,Daudpur,,20
दानिश,Danish,,17
दिगम्बर,Digambar ,,12
दिया,Diya,,20
दिव्यलोक,Divyalok,,18
दीनदयालउपाध्याय,Dindayal upadhyay ,,15
दीपकधाम,Deepak dham,,16
दीपनगर,Deep nagar,,12
दीवार,Deewar,,12
दुका,Duka,,12
दुकानं,Dukan,y,15
दुकानन,Dukanan,,11
दुर्गानगर,Durga nagar,,12
दुर्गापुरम,Durgapuram,,21
दुर्गेश,Durgesh,,14
दुष्यन्त,Dushyant,,14
दुसायत,Dusayat,,18
दुुकान,Dukan,,15
दूसरे,2nd,y,18
देवपुरी,Devpuri,,14
देवराज,Devraj ,,23
देवरेठा,Devretha,,13
दोयम,Doyam,,15
द्धारिका,Ddharika,y,18
द्रितीय,Dritiy,,12
द्रोपदी,Dropadi,,18
द्वद्तिय,Dvadtiy,y,16
द्वारकेशपुरम,Dwarkeshpuram,,14
द्वो,Dvo,,23
धनी,Dhani,,12
धरी,Dhari,,20
धर्मदास,Dharmdas,,13
धाकरे,Dhakre,,16
धाम‚,"Dham,",y,13
धीर,Dheer,,11
धु्व,Dhruv,y,16
ऩ,N,y,13
नं़,,Y,20
न。,,y,23
नं。,,y,24
न०़,,y,12
नईबस्ती,Nai basti,y,13
नंगर,Nangar,,11
नगरिया,Nagriya,,13
नजदीक,Najdeek,,16
नंदिनी,Nandini,,20
नदी,Nadi,,24
नदौता,Nadauta,,12
नन्दन,Nandan,,12
नन्दनन्दनधाम,Nand nandan dham,y,16
नप,Nap,,11
नंंबर,Numbar,,18
नबरी,Numbari ,y,20
नबाब,Nabab,,16
नमबरी,Numbari,,21
नम्‍बरान,Numbran,y,14
नम्ब्र,Nambra,,12
नयाबांस,Nayabans,,12
नयावास,Nayavas,,24
नयी,Nayi,,18
नरं,Nar,y,12
नरसीपुरम,Narsipuram,,15
नरायण,Narayan ,,11
नरी,Nari,,13
नरीपुरा‚,"Naripura,",y,21
नव,Nav,,21
नवनिकुंज,Navnikunj,,12
नवर,Navar,,11
नंवरी,Numberi,y,24
नवाव,Navav,,13
नवीपुर,Navipur,,24
नवॉ,9,y,19
नवॉमील,Navomil,y,20
नहचानी,Nahchani,,24
ना,Na,,12
नाई,Nai,y,16
नागराज,Nagraj,,20
नि०नं०,,Y,14
निकेत,Niket,,13
निठारी,Nithari,,13
निधि,Nidhi,,20
निनवाया,Ninvaya,,15
निम,Nim,,23
निमग,Nimag,,14
निमित,Nimit,,13
निम्बार्क,Nimbark,,21
निर्मितक्षे,Nirmitkshe ,,14
निर्मित्,Nirmit,y,21
निर्मीतक्षे,Nirmitkshe,,14
निस्फ,Nisf,,20
नीचे,Neeche,,18
नीबूलाल,Neebulal,,20
नीमा,Neema,,12
नील,Neel,,16
नूरपुर,Noorpur,,23
नूरी,Noori,,15
नेता,Neta,,17
नॉर्थ,North,,12
नो,No,,13
नोन,Non,,18
नौ,9,,15
नौबरी,Naubari,y,17
नौबस्ता,Naubasta,,15
नौवांतल,Nauvatal,y,19
नौहझील,Nauhzil,,18
नौहरा,Nauhara,,12
पंकज,Pankaj ,,20
पक्का,Pakka,,17
पक्की,Pakki,,12
पक्षका,Pakshka,,21
पक्षो,Paksho,,14
पक्षों,Paksho,y,21
पंचगाई,Panchgai,,24
पचगाईखेडा,Pachgai kheda,,19
पचगांईखेडा,Pangaikheda,y,14
पंचायती,Panchayati,,21
पचौरी,Pachauri,,16
पंजाबी,Punjabi,,18
पजाया,Pajaya,,12
पंजावी,Punjavi,y,17
पट,Pat,,12
पटटी,Patti,,20
पटिया,Patiya,,19
पंडित,Pandit,,14
पडी,Padi,,19
पतिपुरम,Patipuram,,12
पथवारी,Pathvari,,21
पथौली‚,"Pathauli,",y,23
पदमदीप,Padamdeep,,14
पदमपुरी,Padampuri,,15
पन्नापुर,Pannapur,,15
पब्लिक,Public,,24
पर‚,"Par,",y,12
परशुराम,Parshuram,,12
परषोत्तम,Parshottam ,,24
पर्ग,Parg,,12
पलाटस,Plot no,y,23
पलॉट,Plot,,20
पश्चात,Pashchat,y,11
पाकटोला,Paktola,,11
पाँच,5,,12
पाचवां,5,,22
पांचवातल,Panchvatal,,20
पांचवांतल,Panchavatal,y,11
पाट,Pat,,12
पांडव,Pandav,,19
पाण्‍डव,Pandav,,21
पातुरा,Patura,,21
पायसा,Paysa,,13
पार्किंग,Parking,,23
पार्श्वनाथ,Parshvanath,y,24
पार्स्वनाथ,Parsvanath,,19
पाली,Pali,,11
पाेइया,Poiya,,13
पी०,,Y,22
पीपरिया,Peepriya,,13
पीर,Peer,,11
पुण्डीर,Pundir,,17
पुनीत,Puneet,,17
पुरालोधी,Puralodhi,,17
पुरूषोत्तम,Purushottam,,13
पुर्वी,Purvi,,12
पुष्‍प,Pushp,,12
पुष्पविहार,Pushp vihar,,13
पूरन,Puran,,11
पूरी,Puri,,11
पूर्णतः,Purnath,y,16
पूर्णभाग,Purnbhag,,15
पूर्णै,Purnai,,12
पूर्बी,Purbi,,15
पूर्वपश्चिम,Purv pashchim ,,23
पूर्वीभाग,Purvibhag,,12
पृथ्वी,Pruthvi,y,15
पे०,,y,14
पेंट,Pent,,12
पेट्रोल,Petrol,,14
पेड,Ped,,18
पेराडाइज,Paradise,,19
पैठगली,Paithgali,,19
पैमाईश,Paimaish,,13
पॉक्ेट,,y,18
पॉच,5,y,24
पॉचवा,5,y,23
पोइंट,Point,,20
पोइन्ट,Point,,21
पोल्स,Pols,,12
पोस्ट,Post,,18
पौइंट,Point ,,16
पौल्स,Pols,y,11
प्,,y,19
प्जाट,Plot,,15
प्यारे,Pyare,,23
प्रगतिबिहार,Pragati bihar,,13
प्रणाली,Pranali,,16
प्रथम‚,"Pratham,",y,16
प्रथमचरण,Pratham charan,,15
प्रथमपक्षका,Pratham pakshka,,24
प्रथमपल,Prathampal,,15
प्रभु,Prabhu,,12
प्रमाण,Praman,,21
प्रमोद,Pramod,,22
प्रयोजन,Prayojan ,,11
प्रारम्भिक,Prarmbhik,y,12
प्रिय,Priy,,12
प्रीतिपुरम,Preetipuram,,14
प्रेमपुरम,Prempuram,,20
प्रेमवाटिका,Prem vatika,,23
प्रोफेसर,Professor ,,12
प्ल,Pl,,13
प्लाअस,Plaas,y,16
प्‍लाजा,Plaza,,12
प्लाजा‚,"Plaza,",y,19
प्लाजो,Plaza,,13
प्लाटं,Plot,,19
़प्लाट,Plot,Y,20
