og_representation,mapping,confusion,frequency
प्लाटखसरा,Plot khasra ,,22
प्लाटजिसका,Plot jiska,,17
प्‍लाटनं,Plot number ,,17
प्लाटसं०,Plot no,y,19
प्लाटस्,Plot no,y,11
प्लाटान,Plot no,y,13
प्लाटो,Plato,,19
प्लाठ,Plot,,23
प्लात,Plot,y,19
प्लान,Plan,,21
प्लूमेरिया,Plumeria,y,14
प्लेटिनम,Platinum ,,11
फडी,Fadi,,15
फतेहपुरसीकरी,Fatehpur sikri,,21
फलेैट,Flat ,,16
फलैअ,Falaia,y,17
फलैेट,Flat ,,17
फसली,Fasli,,19
फार्मस्,Farms,,12
फार्म्स,Farms,,16
फिट,Feet,,18
फ़िफ्थ,5th,,22
फिरोजाबाद,Firojabad,,12
फिलैैटनं,Flat number ,,17
फीनिक्स,Phoenix,y,21
फेज,Phase,,12
फेंस,Phase,,18
फैलीसा,Failisa,,12
फोरेस्ट,Forest,,14
फोर्ट,Fort,,11
फ़ोर्थ,4th,,19
फ्रेण्ड्स,Friends,,12
फ्रेन्‍डस,Friends,,11
फ्लाेर,Floor,,15
फ्लाैर,Floor ,,11
फ्लौर‚,"Floor,",y,12
बगदर,Bagdar,,12
बंगला,Bungalow ,,13
बंगाली,Bengali ,,15
बघेलान,Baghelan,,21
बजीर,Bajeer,,11
बदनपुर,Badanpur,,13
बंधक,Bandhak,,14
बन्धक,Bandhak,,13
बन्धकमुक्ति,Bandhakmukti,,23
बबूरी,Baburi,,17
बम्‍बा,Bamba,,16
बरखा,Barkha,,20
बरपुरा,Barpura,,19
बरामद,Baramad,,20
बराैली,Barauli,,14
बरूण,Barun,,15
बरोली,Baroli,,24
बरौदा,Baroda ,y,13
बलदाउ,Baldau,,12
बलदेव,Baldev,,13
बलवीर,Balveer,,19
बल्‍केश्‍वर,Balkeshvar,,12
बल्केश्वर‚,"Balkeshravar,",y,16
बल्देवकुंज,Baldevkunj,,21
बल्लभ,Ballabh,,22
बल्हैरा,Balhaira,,21
बंशीरतन,Banshiratan,,13
बस,Bus,,22
बसन्ती,Basanti,,13
बंसल,Bansal,,13
बसौती,Basauti,,12
बहिस्ताबाद‚,"Bahistabad,",y,13
बांईखेडा,Baikheda,y,13
बाउण्ड्रीबाल,Boundary wall,y,23
बाउन्ड्रीवाल,Boundary wall,y,24
बाकैै,Bakai,,19
बाग़,Bag,,17
बांगकला,Bangkala,,22
बागंर,Baganr,,14
बागौर,Bagaur,,21
बाजार‚,"Bajar,",,11
बाटी,Bati,,12
बाडा,Bada,,15
बाँधनू,Bandhanu,,15
बारहवांतल,Barhavantal,y,12
बालूगंज,Baluganj,,18
बांस,Bans,,14
बाॅके,Boke,y,14
बिक्रीत,Bikrit,,14
बिचपुरी‚,"Bichpuri, ",,18
बिल्टप,Built up ,,12
बिल्लोचपुरा,Billochpura,,13
बिसे,Bise,,15
बिस्वांसी,Bisvansi,,15
बिहार‚,"Bihar,",y,18
बिहारीजी,Bihariji,,19
बिहारीपुर,Biharipur,,13
बिहू,Bihu,,15
बिेहार,Bihar,,14
बी०एम०,BM,y,12
बी०एल०,BM,y,14
बी०एस०,Bs,y,16
बीएन,BN,,18
बीजीएफएस,BGFS,,19
बीटी,BT,,11
बीधा,Beedha,,15
बीमा,Bima,,18
बुढाना,Budhana,,18
बुद्धबिहार,Buddha bihar,,12
बृजकुंज,Brujkunj,,14
बृजेश,Brujesh,,15
बृन्दा,Brunda,,18
बेचना,Bechna,,22
बेल,Bel,,21
बेला‚,"Bela,",y,13
बेसमेट,Basement ,,17
बेसमंेट,,y,14
बैकुण्ड,Baikunth ,,15
बैक्ुण्ठधाम,,y,13
बैक्ुण्ठबिहार,,y,12
बैनई,Bainai,y,18
बैलोट,Bailot,,16
बैष्णो,Baishno,,16
बैष्णोधाम,Baishno dham,,16
बैसमेन्ट,Basement ,,11
बैस्ट,Best,,13
बौहरे,Bauhare,,17
ब्रजराज,Brajraj,,12
ब्रह्रमपुरी,Brahrampuri,,11
ब्राहम्ण,Brahman ,y,21
ब्लोक,Block,,21
भ,Bha,,21
भक्तिकुंज,Bhaktikunj,,15
भगवतीबाग,Bhagvatibaag,,16
भडाना,Bhadana,,18
भडीरी,Bhadiri,,15
भमि,Bhami,,24
भवनसं,Bhavansan,y,23
भागमुकिर,Bhagmukir,,14
भागयानि,Bhagyani,,17
भागयानी,Bhagyani,,23
भागव,Bhagav,,14
भागवत,Bhagvat,,17
भागीरथी,Bhagirathi,,15
भाडई,Bhadai,y,15
भारत,Bharat,,19
भारमुक्त,Bharmukt,,13
भााग,Bhag,y,23
भिलावटी,Bhilavati,,11
भीमनगर,Bheem nagar,,15
भुमि,land,,22
भू०,plot,y,15
भू०सं०,plot no,y,22
भूखड,Bhukhad,,11
भूखण,Bhukhan,,14
भूखणड,Bhukhanad,,15
भूखण्उ,,y,23
भूखण्डनम्बर,plot no,,13
भूमधिरी,Bhumdhiri,,13
भूमि‚खाता,"land, khata",,12
भूमिखण्ड,land parcel,,17
भूमिधर,land holder,,17
भूमिमुक्तिरिलीज,land release,y,24
भूमिुक्ति,land release,y,11
भूुखण्ड,Bhukhand,y,22
भूुमि,land,y,18
भूूतल,Bhutal,,13
भूूमि,land,,20
भैरो,Bhairo,,18
भैरों,Bhairo,y,17
भैंरो,Bhairo ,y,16
भैस,Bhais,,12
भोपुर,Bhopur,,16
भ्ज्ञाग,Bhdnyan,y,12
म०,,y,13
म०नं०,,y,23
मउ,Mau,,14
मका,Maka,,18
मकानजो,Makanjo,,11
मकानन,Makanan,,14
मकानवाटर,Makan watar,y,17
मगटई‚,"Magatai,",y,18
मंगला,Mangala,,12
मंगोली,Mangoli ,,16
मछली,Machali,,15
मजिल,Majil,,17
मजिंल,Majinl,y,14
मजिंला,Majinla,y,17
मंंजिला,Manjila,,14
मंजिले,Manjile,,17
मण्‍डी,Mandi,,20
मण्डी‚,"Mandi,",y,11
मदनपुरी,Madanpuri,,19
मधुनगर,Madhu nagar,,12
मधुबन,Madhuban,,12
मनकामेश्वर,Mankameshravar,y,16
मनकेंडा,Mankenda,,12
मनीवाटिका,Mani vatika,,20
मनीष,Manish,,18
मनोहरधाम,Manohar dham,,18
मनोहरपुरा,Manoharpura,,20
मन्जरी,Manjari,,16
मन्जिला,Manjila,,14
मन्दाकिनी,Mandakini,,24
मयापुर,Mayapur,,17
मयांपुर,Mayapur,y,16
मर,Mar,,24
मलपुरा‚,"Malpura,",y,17
मलवा,Malva,,18
मलिकपुर,Malikpur,,15
मलूक,Maluk,,19
मलूपुर,Malupur,,18
मल्टीप्लेक्स,Multiplex ,,23
मंशा,Mansha,,16
महदऊ,Mahadau,Y,22
महादेवी,Mahadevi,,19
महाराणा,Maharana,,24
महारानी,Maharani,,21
महावन,Mahavan,,16
महुआखेडा,Mahuaakheda,y,11
महेन्द,Mahend,,13
मा,Ma,,18
माईथान,Maithan,,14
माखन,Makhan,,19
मागरौल,Magraul,,20
माधुरी,Madhuri,,23
मान,Man,,19
मानस,Manas,,17
मानसरोवर,Mansarovar,,19
मायावन,Mayavan,,14
मारुति,Maruti,,16
मार्किट,Market ,,16
मार्केट‚,"Market,",y,12
मार्केटिंग‚,"Marketing, ",y,24
मालती,Malti,,15
माली,Mali,,15
मालीपाडा,Malipada,,12
माॅ,Ma,y,15
म़ि,Mi,,14
म़ि०,,y,12
मिटर,Meter,,14
मित्तल,Mittal,,13
मिनजुुमला,Minjumla,,14
मिनी,Mini,,21
मिरकबा,Mirakba,,18
मिलें,Mile,,12
मिलेहै,Milehai,,17
मिव,Miv,,11
मी़,Mi,,12
मी़०,,y,17
मीटर‚,"Meter,",y,13
मीटश्र,Mitshra,,19
मीटा,Mita,,16
मीनाक्षी,Minakshi,,20
मीर,Meer,,15
मुखवार,Mukhvar,,21
मुख्‍य,Mukhya,,17
मुगल,Mugal,,15
मुडेसी,Mudesi,,13
मुतवलियान,Mutavliyan,,15
मुरैण्डा,Murainda,,13
मुर्थरअलीपुर,Murthar alipur,,12
मुल्ला,Mulla,,21
मुहम्‍मदपुर,Muhammadpur ,,19
मूल,Mul,,17
मूला,Mula,,13
मूल्याकन,Mulyakan,,17
मेंअपने,Me apne,,12
मेंप्रथमपक्षका,Mai pratham pakshka,y,22
मेमेरा,Memera,,17
मेंरा,Mera,y,11
मेस,Mess,y,22
मेसें,Mese,y,12
मेस्थितएक,Me sthit ek,y,12
मेेंं,Rme,y,15
मेंे,,y,15
मैन,Main,,22
मॉं,,Y,21
मॉट,Mot,y,12
मो,Mo,,14
मोड़,Mod,,15
मोरवी,Moravi,,19
मोरवीनन्दन,Morvi nandan,,15
मोहनपुर,Mohanpur,,23
मोहम्मदपुर,Mohammadpur,,18
मोहल्‍ला,Mohalla,,12
मौैजा,Mauja,,16
म्याद,Myad,,16
य,Y,,20
यथाेचित,Yathochit,,18
यनि,Yani,,11
यनी,Yani,,12
यश,Yash,,13
यादव,Yadav,,19
यानीरकवा,Yanirakava,,13
यूजीएफ,UGF,,22
रं,Ran,y,23
रक०,,y,20
रकबा०,,Y,13
रकवाक्रमशः,Rakva kramashah,y,11
रकवाभूमिमूक्ति,Rakva bhumi mukti ,y,13
रकावा,Rakava,,22
रक्वा,Rakva,,17
रक्षा,Raksha,,16
रंगेश्वर,Rangeshravar,y,14
रत्नाकर,Ratnakar,,12
रमण,Raman,,13
रमन,Raman,,21
रमनरेती,Ramanreti,,12
रमेश,Ramesh,,14
रवा,Rava,,20
रश्मि,Rashimi,y,18
रसोई,Rasoi,,12
रहन,Rahan,,14
रहनकलां,Rahankala,y,17
रा,Ra,,11
राकवा,Rakva,,15
राकेश,Rakesh,,13
राघेधाम,Raghe dham,,19
राजउपवन,Raj upvan,,20
राजकमल,Rajkamal,,13
राजदीप,Rajdeep,,14
राजन,Rajan,,20
राजराजेश्वरी,Raj rajeshravari,y,11
राजविहार,Raj vihar ,,21
राजश्री,Rajshree,,12
राजेश्वर,Rajeshravar,y,13
राजेश्वरी,Rajeshravari,y,18
राठौर,Rathaur,,18
राधानिकुंज,Radhanikunj,,19
राधानिवास,Radha nivas,,22
राधास्वामी,Radha swami ,,11
राधेनगर,Radhe nagar,,19
रामकुन्ज,Ramkunj,,12
रामकृष्णपुरम,Ram krishnapuram ,,17
रामगंज,Ramganj,,23
रामजी,Ramji,,22
रामबिहार,Ram bihar,,14
रामश्याम,Ram shyam,,18
रामस्वरूप,Ram swaroop,,20
रामी,Rami,,19
रामेश्वर,Rameshravar,y,22
राय,Ray,,17
राल,Ral,,22
रावत,Ravat,,22
रास्ता,Rasta,,21
रास्तो,Rasto,,20
रिठौरा,Rithaura,,13
रिवर,River,,13
रिसाल,Risal,,13
रिहायसी,Rihayasi,,22
रुकमणी,Rukmani,,24
रू०,,y,13
रूई,Rui,,22
रूपया,Rupaya,,15
रूपये,Rupaye,,20
रूबी,Rubi,,23
रेजीडेन्स,Residence,,13
रेजीमेन्टल,Regimental ,,11
रेतिया,Retiya,,13
रेल,Rail,,16
रेस्टोरेन्ट,Restaurant ,,15
रेाड,Road,y,17
रैना,Raina,,19
रैपुरा,Raipura,,17
रोझौली,Rozauli,,15
रोयल,Royal,,18
रौची,Rauchi,,17
रौंची,Raunchi,,14
रौनक,Raunak,,20
रौसू,Rausu,,23
र्ग,Rg,y,13
र्गमी,Rgami,y,15
लक्ष्मन,Lakshman,,14
लक्ष्‍मी,Lakshmi,,24
लक्ष्मीधाम,Lakshmi dham,,12
लक्ष्मीनगर,Lakshmi nagar,,17
लखनामई,Lakhnamai,,11
लच्छीपुरा,Lacchipura,,17
लड़ामदा,Ladamada,,11
लम्वाई,Lamvai,,18
लव,Luv,y,23
लवीस,Lavis,,20
लाईन,Line,,24
लाईन्स,Lines,,17
लाईन्स‚,"Lines,",y,22
लाढपुर,Ladhpur,,12
लायर्स,Lawyers ,y,12
लार्ड,Lord,,18
लि०,,y,14
लिंकमार्ग,Linkmarg,,12
लिये,Liye,,13
लीला,Leela,,22
लुहार,Luhar,,16
लेन,Lane ,,11
लैटिन,Latrine ,y,12
लैटि्न,,y,12
लैट्रिन,Latrine ,,21
लैण्‍ड,Land,,13
लोधीनगर,Lodhinagar,,16
ल्यूमेरिया,Lyumeria,y,13
व०मी०खसरानं०,,Y,22
व०मीट०,,y,11
वकिया,Vakiya,,18
वगगज,Vaggaj,,15
वगर्मी,Vagarmi,,12
वग्रगज,Vagragaj,,22
वग्रमीटर,Vagrameter,,11
वग्री,Vagri,,21
वटा,Vata,,21
वनया,Vanya,,13
वनी,Vani,,17
वम,Vam,,20
वरपुरा,Varpura,,23
वरौली,Varauli,,15
वर्क्स,Works,,21
वर्गगज‚,Varggaj,,11
वर्गज,Vargaj,,15
वर्गमप्लाट,Vargam plot,,17
वर्गमीखसरा,Vargmi khasra ,,18
वर्गमीटर।,Vargmeter.,y,11
वर्गमीु,Vargmi,y,22
वर्गमूी,Vargmi,y,12
वर्ग्गज,Varggaj,,18
वर्ग्रमी,Vargrami,,13
वर्म,Varm,,24
वर्षाधाम,Varsha dham,,11
वव,Vav,,22
वंश,Vansh,,18
वशक्ल,Vashakl,,15
वसन्त,Vasant,,20
वसुंधरा,Vasundhara ,,16
वहरामपुर,Vahrampur,,14
वहा,Vaha,,12
वहिस्ताबाद‚,"Vahistabad,",y,23
वहिस्तावाद,Vahistavad,,17
वाईके,Vaike,,11
वाईपास,Vayipas,y,15
वाउन्ड्री,Boundary ,,15
वाउन्‍ड्रीवाल,Boundary wall ,y,16
वांकै,Vankai,,17
वाग,Vag,,19
वाजीदपुर,Vajidpur,,18
वाट,Vat,,12
वाटिक,Vatik,,16
वाटिका‚,"Vatika,",,12
वात्सल्य,Vatslya,,12
वाथरूम,Bathroom ,,21
वाद,Vad,,15
वानपुर,Vanpur,,12
वायु,Vayu,,18
वाल,Val,,21
वालाजीधाम,Valaji dham,,13
वाले,Vale,,21
वाहर,Vahar,,17
विकीत,Vikit,,22
विकेता,Viketa,,14
विकेय,Vikey,,17
वि‍क्रय,Vikray,,11
विक्रय्,Vikray ,y,19
विक्र्य,Vikry,y,14
विजली,Vijali,,19
विद्यानगर,Vidya nagar,,18
विद्यालय,Vidyalay,,15
विधाता,Vidhata,,22
विधापुर,Vidhapur,,22
विधालय,Vidhalay,,17
विधिचन्द,Vidhichand,,12
विध्या,Vidhya,,16
विनय,Vinay,,12
विल्टप,Viltap,,17
विशटाउन,Wish town,y,18
विशन,Vishan,,13
विश्वकर्मा,Vishravkarma,y,16
विश्वलक्ष्मी,Vishrav lakshmi,y,12
विश्वासपुरम,Vishravaspuram,y,11
विष्णुधाम,Vishnu dham,,17
विष्णू,Vishnu ,,24
विस्वांसी,Visvansi,,15
विस्सो,Visso,,15
विहर्ष,Viharsh,,21
विहारीपुर,Viharipur,,18
वी०,,y,12
वीघा,Veegha,,12
वीनापुरम,Veenapuram,,12
वीपी,VP,,17
वृजधाम,Vruj dham,,21
वृजराजधाम,Vrujraj dham,,12
वृंदा,Vrunda,,16
वृंदावन,Vrundavan,,13
वे,Way,,14
वेची,Vechi,,16
वेदान्त,Vedant,,12
वेली,Vally,y,24
वेस्ट,West,,12
वैघ,Vaigh,,12
वैध,Vaidh,,17
वैभव,Vaibhav,,16
वैंष्णो,Vaishno ,y,18
वैष्णोकुंज,Vaishnokunj,,19
वैष्णोनगर,Vaishno nagar,,14
व्०,,y,14
व्०मी०,,y,22
व्यवासियक,Vyavasayik,,12
व्यसायिक,Vyasayik,,16
व्यापारियान,Vyapariyan,,20
व्यास,Vyas,,13
व्रन्दावन,Vrandavan,,13
व्लॉक,Block ,,18
शकुन्तलाधाम,Shankuntala dham,,22
शक्ल,Shakl,,19
शगुन,Shagun,,16
शमसाबाद,Shamsabad,,12
शांति,Shanti,,20
शांतिवन,Shantivan,,12
शान्तीकुंज,Shantikunj,,22
शारदाकुंज,Shardakunj,,13
शालिनी,Shalini,,12
शास्‍त्रीपुरम,Shastripuram,,14
शाह,Shah,,17
शाहनगर,Shah nagar,,12
शिवजी,Shivji ,,15
शिवनाथ,Shivnath,,15
शिवबालानाथ,Shivbalanath,,22
शिवलिंग,Shivling,,13
शिववाला,Shiv vala,,14
शिवांश,Shivansh,,14
शीतला,Sheetala,,14
शीला,Sheela,,19
शुद्ध,Shuddh,,13
शुभमंगलम,Shubh mangalam,,22
शेख,Shekh,,14
शेखर,Shekhar,,15
शेखान,Shekhan,,11
शॉन्ती,Shonti,y,12
शोभाकुंज,Shobhakunj,,15
शौपिंग,Shopping ,,13
श्यामकुटी,Shyamkuti,,19
श्यामकुन्ज,Shyamkunj,,14
श्यामनगर,Shyam nagar,,22
श्यामबिहार,Shyam bihar,,23
श्यामसुन्दर,Shyam sundar,,19
श्यामाश्यामा,Shyama Shyama,,20
श्रीकृष्णकुंज,Shri krishnakunj ,,12
श्रीकृष्णलोक,Shri krishnalok,,20
श्रीजीकुन्ज,Shrijikunj ,,22
श्रीदाऊजी,Shri dauji,,14
श्रीपादधाम,Shripad dham,,18
श्रीबांके,Shree banke,,13
श्रीराधाकृष्णा,Shri radhakrishna ,,23
श्रीराधापुरम्,Shri radhapuram,y,24
श्रीराधेधाम,Shri radhe dham,,23
श्रीराधेश्याम,Shri radheshyam,,16
श्‍वेता,Shweta ,,20
षष्ठम,6th,y,22
सं़,no,y,17
सं。,no,y,19
सं०़,no,y,22
सं००,no,y,17
स०अ०,,y,20
सए,Sae,y,22
सकराया,Sakraya,,16
संख,Sankh,y,20
संख्य,Number,,19
सख्‍या,Number,,15
सख्‍ंया,Number,,20
सगुनापुर,Sagunapur,,21
संग्रहालय,Sangrahalay,,19
सटे,Sate,,17
संत,Sant,,24
सतवां,7,,16
संतोष,Santosh ,,18
सत्यनरायन,Satya narayan,,20
सत्यमबिहार,Satyam bihar,,14
सत्‍यवोध,Satyavodh,,14
सत्संगी,Satsangi,,17
सदौला,Sadaula,,21
सन्तोष,Santosh,,23
सन्‍तोषी,Santoshi,,21
सप्तऋषि,Saptrushi,,12
सप्‍तमतल,Saptamtal,,18
सफायर,Safayar,,22
सबसेक्टर,Sub sector,,20
समपत्ति,Samapatti,,24
समीर,Sameer,,15
सम्पतित,Sampatit,,21
संम्पत्ति,Sanmpatti,y,14
सम्पू,Sampu,,13
सम्पूण,Sampun,,23
सम्पूर्णरकवा,Sampurn rakva,,18
सम्पूर्ण्अंश,Sampurnansh,y,14
सम्पूर्न,Sampurn,,16
संया,Sanya,,12
संयुक्त,Sanyukt,,13
सरकारी,Sarkari,,19
सरजैपुर,Sarjaipur,,15
सरन,Saran,,14
सरवन,Sarvan,,17
सरसा,Sarsa,,16
सरस्‍वती,Saraswati ,,18
सलेमाबाद,Salemabad,,18
सलौनी,Salauni,,15
संव,Sanv,y,12
सस्कृति,Saskruti,,14
संस्‍कृति,Sanskruti ,,14
सहजुआ,Sahajuaa,y,12
सहारे,Sahare,,22
सही,Sahi,,23
सां,Number,y,12
साईं,Sai,,23
साईधाम,Sai dham,,22
साऊथ,South,,14
सागर,Sagar,,20
साटिफिकेट,Certificate ,y,15
सातवा,7,,18
सातवाँ,7,,18
सातवेतल,Satvetal,,12
साधन,Sadhan,,17
सांधन,Sandhan,,22
सामान्य,Samany,,13
सामिल,Samil,,20
सार्टिफिकट,Certificate ,,12
सिकतरा,Siktara,,22
सिकरवार,Sikarvar,,20
सिंगारपुर,Singarpur,,13
सिथत,Sithat,,18
सिद्धार्थ,Siddharth ,,16
सिध्दि,Siddhi,,21
सिरौली‚,"Sirauli,",y,18
सिलवर,Silver,,20
सिलसिला,Silsila,,13
सिलिंग,Ceiling ,,12
सी०पी०,,y,12
सीटी,City,,23
सीताराम,Seeta ram,,16
सीपी,CP,,11
सीमान्त,Simant,,17
सीमायें,Simaye,y,17
सुचेता,Sucheta,,13
सुतैडी,Sutaidi,,13
सुदर्शन,Sudarshan,,15
सुधा,Sudha,,14
सुमन,Suman ,,17
सुमित,Sumit ,,18
सुरभि,Surbhi,,14
सुरेश,Suresh,,18
सुल्तानपट्टी,Sultan patti,,19
सुशीला,Sushila,,17
संे,,y,20
सेअपने,Se apne,,17
सेकिंड,2nd,,14
सेकेवल,Sekeval,,14
सेंटर,Centre ,,12
सेड,Sed,y,11
सेन्टपॉल्स,,y,13
सेपरेट,Separate ,,15
सेप्रेट,Separate ,,15
सेमरा,Semra,,12
सेमरी,Semari,y,18
सेरकवा,Serkava,,22
सेवरा,Sevra,,13
सेवेन्थ,7,y,18
सैकण्ड,2nd,,17
सैकिंड,2nd,,14
सैकिन्ड,2nd,,18
सैपरेट,Separate ,,12
सैमरी‚,Saimari,y,16
सोना,Sona,,15
सोबरन,Sobaran,,16
सोमोती,Somoti,,22
सोवरन,Sovran,,16
सौमोती,Saumoti,,18
सौरभ,Saurabh,,14
स्,,y,16
स्०,,y,18
स्ं०,,y,23
स्‍कूल,School,,13
स्क्वार,Skvar,,15
स्टार,Star,,16
स्‍टेशन,Station,,14
स्टैट,State,,13
स्टोरेज,Storage ,,12
स्ट्रीट‘‘,Street,y,12
स्‍थित,located,,22
स्थि‍त,located,,18
स्थितहै,located,,14
स्थ्‍िात,located,,15
स्‍पेस,Space,,12
स्फायर,Sphire,y,19
स्वदेशी,Swadeshi,,16
स्वंयकर,Svanykar,y,12
स्‍वरूप,Swaroop,,12
स्‍वेता,Sveta,,16
स्‍िथत,located,,23
हक्टेयर,Hectare,,15
हयात,Hayat,,14
हरि,Hari,,13
हरिओम,Hari om,,13
हरिकुंज,Harikunj,,14
हरिजन,Harijan,,20
हरिवंश,Harivansh,,12
हरिशचन्द्र,Harishchandra,,19
हरीकुंज,Harikunj,,15
हरीदास,Haridas ,,19
हरीवाटिका,Hari vatika,,16
हरे,Hare,,11
हंस,Hans,,15
हाइट्स,Heights,,13
हाई,High,,23
हाईटेक,Hightech ,,12
हाथरस,Hathras,,23
हास्पीटल,Hospital,,14
हि०,,y,13
हिंगोट,Hingot ,,20
हिससे,Hisse,,17
हिसे,Hise,,11
हिस्स,Hiss,,24
हींग,Hing,,16
हुऐ,Hue,,16
हू,Hu,,16
हंे,,Y,22
हे०का,,y,14
हेक,Hek,y,12
हेक्ट,Hectare,y,12
हेक्टैयर,Hectare,,15
हेबिटेट,Habitat,,13
हेरिटेज,Heritage,,13
हेरीटेज,Heritage,,16
हेलियोस,Heliyos,,15
हेु,,y,17
हेैक्टेयर,Hectare ,,23
है़,Hai,,19
है।अन्दरून,,y,16
है‚अन्दरून,"Hai, Andrun",y,23
है०़,,y,21
है०अपना,,y,15
है०इस,,y,13
है०किता,,y,15
है०तय,,y,15
है०मेंप्रथमपक्ष,,y,14
है०वकदर,,y,12
हैअन्दरून,Hai andrun,y,13
हैक्अेयर,Hectare,y,19
हैक्ट०,,y,19
हैक्टेअर,Hectare ,,13
हैक्टेय,Hectare ,y,20
हैक्टै,Hectare ,y,17
हैक्टै०,,y,23
हैक्‍टैयर,Hectare,,19
हैजिसका,Hai jiska,,15
हैमें,Haime,y,17
हैव,Haiv,,18
हैॅ,Hai,y,18
हैे,Hai,,24
हैैक्टेयर,Hectare ,,13
हॉस्पीटल,Hospital,,17
होकर,Hokar,,16
होम,Home,,20
होल,Hall,,16
ाकबस,,y,16
ाट,,y,14
ानं,,y,17
ृ,,y,22
ेजी,,y,18
ेस,,y,17
ो,,y,24
्गाटा,,y,15
्ग्राउण्ड,,y,19
्प्रथमतल,,y,20
