og_representation,mapping,confusion,frequency,example
यपुनोत्री,Yapunotri,,1,यपुनोत्री
यमुनाविहार,Yamuna vihar,,1,यमुनाविहार
यमनोत्री,Yamanotri,,1,यमनोत्री
व्योैपारियान,Vyaupariyan,y,1,व्योैपारियान
व्यौपारियान,Vyaupariyan,y,1,व्यौपारियान
व्यासघेरा,Vyasghera,,1,व्यासघेरा
व्यापारियाना,Vyapariyana,,1,व्यापारियाना
व्यापारियान,Vyapariyan,,8,मौ0 व्यापारियान
वुढेरा,Vudhera,,1,वुढेरा
वृथला,Vruthla,,9,"मई, वृथला"
वृषंगपुरा,Vrishangpura,,1,वृषंगपुरा
व्रहमकुण्ड,Vrahamkund,,1,व्रहमकुण्ड
वोरपा,Vorpa,,1,वोरपा
विठठौना,Vitthauna,y,1,विठठौना
विठौली,Vithauli,,3,विठौली
विसू,Visu,,2,"धानाखेमा, विसू"
विसु,Visu,,1,विसु
विश्रामपुर,Vishrampur,,8,"चीतपुर, विश्रामपुर, कागारौल"
विष्णुपुरी,Vishnupuri,,1,विष्णुपुरी
विष्णूपुरी,Vishnupuri,,1,विष्णूपुरी
विसहरा,Vishara,,5,"जौनई, विसहरा"
विशम्भरा,Vishambhara,,8,"बढ़ा बांगर, विशम्भरा"
विसावली,Visavali,,1,विसावली
विसारना,Visarna,,1,विसारना
विरजूगढी,Virjugadhi,,1,विरजूगढी
विरजापुर,Virjapur,,1,विरजापुर
विरहरु,Virharu,,13,"कुकावर, विरहरु"
विरौना,Virauna,,5,"अरतौनी, विरौना"
विरहरू,Virahru,,1,विरहरू
विपरावली,Vipravali,,3,विपरावली
विन्दागंज,Vindaganj,,1,विन्दागंज
वीलपुरा,Vilpura,,1,वीलपुरा
विलौठी,Vilothi,,7,"अकबरपुर, विलौठी"
विलौड़ा,Vilauda,,6,विलौड़ा
विक्रमपुर,Vikrampur,,3,विक्रमपुर
विजवारी,Vijvari,,7,"जटवारी, विजवारी"
विझामई,Vijhamaee,y,3,विझामई
विजयनगर,Vijay nagar,,1,नार्थविजयनगरकालौनी (नई)
विद्यापुर,Vidyapur,,7,"अभैदोपुरा, विद्यापुर"
विधौलीखेरागढ,Vidhauli kheragadh,,1,विधौलीखेरागढ
विडावली,Vidavali,,3,विडावली
वेहड़ी,Vehadi,,1,वेहड़ी
वेगमपुर,Vegampur,,1,वेगमपुर
वीरई,Veeraee,y,14,छीतापुरा नगला वीरई
वेदपुरा,Vedpura,,1,वेदपुरा
वेदनगर,Ved nagar,,1,वेदनगर
वाटी,Vati,,3,वाटी
वठैनकलां,Vathainkala,y,14,वठैनकलां
वसेयावोवला,Vaseyavovala,,8,"चेकोरा, वमनपुरा, वसेयावोवला"
वासौनी,Vasauni,,1,वासौनी
वरसाना,Varsana,,6,वरसाना
वरपुरा,Varpura,,1,वरपुरा
वरना,Varna,,3,वरना
वरीपुरा,Varipura,,1,वरीपुरा
वरचावली,Varchavli,,8,वरचावली
वरौली,Varauli,,13,"कचनऊ, वरौली"
वंशीधाम,Vanshidham,,1,वंशीधाम
वानपुर,Vanpur,,6,"वहा, वानपुर"
वनखण्डी,Vankhandi,,1,वनखण्डी
वनखण्‍डी,Vankhandi,,1,वनखण्‍डी
वनकटी,Vankati,,1,वनकटी
वाँगुरीं,Vanguri,Y,1,वाँगुरीं
वनारसीपुर,Vanarasipur,,5,"किलौनी, वनारसीपुर"
वमनपुरा,Vamanpura,,8,"चेकोरा, वमनपुरा"
वमान,Vaman,,3,वमान
वलीपुर,Valipur,,2,वलीपुर
वाकन्दाखास,Vakandakhas,,14,"खेडा बाकन्दा, वाकन्दाखास"
वकालपुर,Vakalpur,,10,"भिलावली, वकालपुर"
वाकलपुर,Vakalpur,,1,वाकलपुर
वकालात,Vakalat,,1,वकालात
वाजना,Vajna,,4,वाजना
वाजीदपुर,Vajidpur,,10,"गुड़ की मण्डी, डिठवार, वाजीदपुर"
वाजिदपुर,Vajidpur,,4,"थनसैरा, वाजिदपुर"
वजीरपुरा,Vajeerpura,,1,वजीरपुरा
वैष्णोधाम,Vaishnodham,,3,राधेग्रीन ⁄ वैष्णोधाम फेस–4
वैमन,Vaiman,,11,"टीकरी, दूरा, वाजीदपुर, वैमन"
वहरावली,Vahravali,,15,"लाड़पुर, वहरावली, लाड़पुर"
वहरामपुर,Vahrampur,,1,वहरामपुर
वहेंटा,Vahenta,,4,वहेंटा
वहा,Vaha,,9,"नारौल, वहा"
उत्तू,Uttu,,8,उत्तू
उत्तमपुरी,Uttampuri,,1,उत्तमपुरी
उत्तमगिरि,Uttamgiri,,1,उत्तमगिरि
उत्तमनगर,Uttam nagar,,1,उत्तमनगर
उटसाना,Utsana,,1,उटसाना
उसपार,Uspar,,1,उसपार
उसमानपुर,Usmanpur,,1,उसमानपुर
ऊषानगर,Usha nagar,,1,ऊषानगर
उसर्रा,Usarra,,2,उसर्रा
ऊसरा,Usara,,3,ऊसरा
ऊपरकोट,Uparkot,y,1,ऊपरकोट
ऊँटगिर,Untgir,,10,ऊँटगिर
उँटगिर,Untgir,,4,उँटगिर
उन्दी,Undi,,3,उन्दी
उऩ्देरा,Undera,,7,उऩ्देरा
उन्देरा,Undera,,1,उन्देरा
ऊँचागाँव,Unchagaon,,3,ऊँचागाँव
ऊँचा,uncha,,3,ऊँचा
उमराया,Umraya,,6,उमराया
उमराला,Umrala,,3,उमराला
उमरैठा,Umraitha,,3,उमरैठा
उमरी,Umari,,1,उमरी
ऊमरी,Umari,,1,ऊमरी
उखर्रा,Ukharra,,1,उखर्रा
उझावली,Ujhavali,,3,उझावली
उजरई,Ujaraee,y,7,उजरई
उगनपुरा,Uganpura,,1,उगनपुरा
ऊधर,Udhar,,2,ऊधर
उधन्नपुरा,Udhannpura,,1,उधन्नपुरा
उदैना,Udaina,,7,उदैना
ऊचागांव,Uchagaon,,2,ऊचागांव
तुरकिया,Turkiya,,1,तुरकिया
टुण्डपुरा,Tundpura,,1,टुण्डपुरा
तूमौला,Tumaula,,11,तूमौला
त्रिपुरी,Tripuri,,4,"गोबरा, त्रिपुरी"
तोष,Tosh,,1,तोष
तोरहपाल,Torahpal,,1,तोरहपाल
तोरा,Tora,,4,तोरा
तोर,Tor,,1,तोर
तोपखाना,Topkhana,,3,गूजर तोपखाना
टोड़रा,Todra,,3,टोड़रा
टोड,Tod,,1,"जगतिया, नगला टोडर"
तोड,Tod,,1,तोड
तिवाहा,Tiwaha,,1,तिवाहा
तिरवाया,Tirvaya,,1,तिरवाया
तिलूपुरा,Tilupura,,3,तिलूपुरा
तिलकागढ़ी,Tilkagadhi,,1,तिलकागढ़ी
टीकरी,Tikri,,7,"गोबरा, टीकरी"
थिरावली,Thiravali,,1,थिरावली
ठेरई,Theraee,y,6,ठेरई
ठेनुआ,Thenua,y,1,ठेनुआ
थापी,Thapi,,4,थापी
थपेड़ा,Thapeda,,6,थपेड़ा
थपैडा,Thapaida,,1,थपैडा
थनसैरा,Thansaira,,2,थनसैरा
थम्मू,Thammu,,1,थम्मू
ठाकुरान,Thakuran,,1,ठाकुरान
ठैनुआ,Thainuaa,y,1,ठैनुआ
तेलीपाडा,Telipada,,1,तेलीपाडा
तेलीपाड़ा,Telipada,,1,तेलीपाड़ा
टेहू,Tehu,,3,टेहू
तेहरा,Tehra,,30,"औलेन्डा, तेहरा रावत"
ततारपुर,Tatarpur,,7,"खैराल 7 1/2 वि. वांगर, ततारपुर"
तारसी,Tarsi,,1,तारसी
तरहट,Tarhat,,1,तरहट
तरासों,Taraso,,1,तरासों
टपरा,Tapra,,6,टपरा
तन्तूरा,Tantura,,1,तन्तूरा
ताँतपुर,Tantpur,y,6,"गढ़ी करीमपुर, घसकटा, ताँतपुर"
तांतपुर,Tantpur,,3,तांतपुर
ताँसपुरा,Tanspura,y,1,ताँसपुरा
तमोलीपाडा,Tamolipada,,1,तमोलीपाडा
तमाचगढ,Tamachagadh,,1,तमाचगढ
तालगढ़ी,Talgadhi,,9,"औछटा, तालगढ़ी"
ताजपुरा,Tajpura,,1,ताजपुरा
ताजपुर,Tajpur,,5,ताजपुर
तैयबपुर,taiyabpur,,2,तैयबपुर
ताहरपुर,Taharpur,,5,"गुंगावद, ताहरपुर"
तबेलान,Tabelan,,2,तबेलान
स्यारमऊ,Syarmau,,10,"छीतापुरा मोतीपुरा, स्यारमऊ"
स्याइच,Syaich,y,1,स्याइच
स्याहीपुरा,Syahipura,,1,स्याहीपुरा
स्वारा,Swara,,3,स्वारा
स्वामीबाग,Swamibag,,1,स्वामीबाग
सुतैडी,Sutaidi,,1,सुतैडी
सुतैड़ी,Sutaidi,,1,सुतैड़ी
सुताहरी,Sutahari,,1,सुताहरी
सुरवारी,Survari,,3,सुरवारी
सुर्रका,Surrka,,1,सुर्रका
सूरौठी,Surauthi,,5,"मङोली, सूरौठी"
सूरज,Suraj,,7,फ ाटक सूरजभान
सुपहरा,Suphara,,1,सुपहरा
सुन्सार,Sunsar,,1,सुन्सार
सुनह़रा,Sunhara,,4,"जाजऊ, सुनह़रा"
सुन्दरपाडा,Sundarpada,,2,सुन्दरपाडा
सुनारी,Sunari,,1,सुनारी
सुल्तानपट्टी,Sultanpatti,,6,आ.का. सुल्तानपट्टी
सुल्तानपटटी,Sultanpatti,,1,सुल्तानपटटी
सुल्तानगंज,Sultanganj,,2,मौ0 सुल्तानगंज
सुलभपुरम,Sulabh puram,,1,सुलभपुरम
सुजगई,Sujgai,y,1,सुजगई
सुजावली,Sujavali,,3,सुजावली
सुजानपुरा,Sujanpura,,1,सुजानपुरा
सुजानपुर,Sujanpur,,10,"खलौआ, गुड़ेरा, भौड़ा सुजानपुर"
सुहागपुर,Suhagpur,,3,"चांदपुर कलां, सुहागपुर, सुहागपुर"
सुड़रई,Sudaraee,y,1,सुड़रई
सुदामापुरी,Sudamapuri,,4,सुदामापुरी
सुचैता,Suchaita,,1,सुचैता
सोंसा,Sonsa,,2,"बोरपा, सोंसा"
सोनोठी,Sonothi,,7,"पतसाल, सोनोठी"
सोनीखेड़ा,Sonikheda,,2,सोनीखेड़ा
सोनीखेडा,Sonikheda,,1,सोनीखेडा
सोन,Son,,1,गोलड सोनी बिहार पचगाई खेडा
सोसा,Society,,1,सोसा
स्लामपुर,Slampur,,6,इस्लामपुर
सिवाल,Sivall,,7,सिवाल
सितौली,Sitauli,,8,"रूदऊ, पायघुसियाना, सितौली"
सिरथला,Sirthala,,7,सिरथला
सिर्रेला,Sirrela,,2,सिर्रेला
सिरेला,Sirela,,1,सिरेला
सिरौली,Sirauli,,10,अजीजपुर ( नरीपुरा ट्रान्सफॉर्मर से अजीजपुर सिरौली मोड तक)
सींह,Sinh,y,1,सींह
सिंगरावली,Singravali,,3,"बसई जगनेर, सिंगरावली"
सींगना,Singna,,3,"जुगसेना, सींगना"
सिंगेचा,Singecha,,1,सिंगेचा
सिंगायच,Singayach,,7,"उसर्रा, सिंगायच"
सिंगारपुर,Singarpur,,1,सिंगारपुर
सिंगाइच,Singaich,y,1,सिंगाइच
सिमराही,Simrahi,,3,सिमराही
सिलपौली,Silpauli,,1,सिलपौली
सिलोखर,Silokhar,,5,"महाव, सिलोखर"
सिलावली,Silavali,,7,सिलावली
सिकतरा,Siktara,,9,पट्टी सिकतरा
सिकरौदा,Sikrauda,,5,"दूरा, सिकरौदा"
सिकरारा,Sikrara,,1,सिकरारा
सीकरी,Sikari,,25,"कराही, पतसाल, सीकरी चार हिस्सा"
सिकन्दरपुर,Sikandarpur,,9,"जौनई, सिकन्दरपुर"
सिजवारीपुरा,Sijvaripura,,1,सिजवारीपुरा
सिहोरगढ,Sihorgadh,,1,सिहोरगढ
सिहोरा,Sihora,,16,"अचरू लधौरा, सिहोरा"
सिहंपौर,Sihanpaur,y,1,सिहंपौर
सिहाना,Sihana,,9,उप्पल बैस्टन ग्रीन सिहाना
सिगारपुर,Sigarpur,,5,"कौरई, सिगारपुर"
सिधावली,Sidhavali,,1,सिधावली
श्यामों,Shyamon,y,6,श्यामों
श्यामो,Shyamo,,1,श्यामो
श्यामापुरम,Shyamapuram,,2,श्यामापुरम
श्यामनगर,Shyam nagar,,1,श्यामनगर
श्यामघाट,Shyam ghat,,1,श्यामघाट
शुर्तवान,Shurtvan,,1,शुर्तवान
शुभमधाम,Shubhamdham,,1,शुभमधाम
श्रोतीपाडा,Shrotipada,,1,श्रोतीपाडा
श्रीकृष्णशरणम,Shri krishna sharnam,y,1,श्रीकृष्णशरणम
श्रीकृष्‍णशरणम,Shri krishna sharnam,y,1,श्रीकृष्‍णशरणम
श्रीकृष्णाग्रीन,Shri krishna green,y,1,श्रीकृष्णाग्रीन
श्रीकृष्‍णाग्रीन,Shri krishna green,y,1,श्रीकृष्‍णाग्रीन
श्रीजीधाम,Shreejidham,,2,श्रीजीधाम
श्रीजीपुरम,Shreeji puram,,5,परिक्रमा मार्ग से श्रीजीपुरम तिराहे तक
शिवपुरी,Shivpuri,,5,शिवपुरी
शिवली,Shivali,y,1,शिवली
शिवाल,Shival,,2,वैदिक सिटी शिवाल
शिवाकुंज,Shivakunj,,1,शिवाकुंज
शिवनगर,Shiv nagar,,8,कमाल खां ( बाबा कमाल खां शिवनगर से नरीपुरा ट्रान्सफार्मर तक)
शिवकालौनी,Shiv Colony,,1,शिवकालौनी
शेरपुर,Sherpur,,10,"चीत, शेरपुर"
शेरनी,Sherni,,1,शेरनी
शेरगडिया,Shergadiya,,1,शेरगडिया
शेरखाँ,Sher khan,y,3,शेरखाँ
शेखूपुर,Shekhupur,,16,"नगला इनामी, नगला शेखूपुर"
शेखपाडा,Shekhpada,,1,शेखपाडा
शीतलछाया,Sheetal chaya,,1,शीतलछाया
शास्त्रीपुरम,Shastri puram,,1,शास्त्रीपुरम
शास्त्रीनगर,Shastri nagar,,1,शास्त्रीनगर
शराबियान,Sharabiyan,,1,शराबियान
शराविंयान,Shara viyan,,1,शराविंयान
शंकरपुरी,Shankarpuri,,1,शंकरपुरी
शंकरगढी,Shankargadhi,,1,शंकरगढी
शंकरगढ़,Shankargadh,,1,शंकरगढ़
शमशाबाद,Shamshabad,,7,गोपालपुरा शमशाबाद
शल्ल,Shall,y,5,"इब्राहीमपुर, इब्राहीमपुर, शल्ल, शल्ल, जटपुरा"
शक्तिनगर,Shakti nagar,,1,शक्तिनगर
शकरगढी,Shakargadhi,,1,शकरगढी
शाहवेद,Shahved,,1,शाहवेद
शाहपुरराकौली,Shahpurarakauli,,1,शाहपुरराकौली
शाहपुरजगनेर,Shahpur jagner,,1,शाहपुरजगनेर
शहजादपुर,Shahjadpur,,26,"ततरौता बांगर, शहजादपुर इन्दावली"
शाहिदपुर,Shahidpur,,3,शाहिदपुर
शाहगंज,Shahganj,,5,न्यू शाहगंज
षाहगंज,Shahganj,,1,षाहगंज
सेवरा,Sevra,,1,सेवरा
सेवाकुन्ज,Sevakunj,,1,सेवाकुन्ज
सेवाकुन्‍ज,Sevakunj,,1,सेवाकुन्‍ज
सेऊपटटी,Seupatti,y,1,सेऊपटटी
सेरसा,Sersa,,1,सेरसा
सेरब,Serab,,3,सेरब
सेंहा,Senhha,,1,सेंहा
सेमरी,Semari,,8,"वरौली, सेमरी"
सेहा,Seha,,3,सेहा
सीयरा,Seeyara,,11,"खिरारी, बना, बना, सीयरा, इटौली"
सीहपुरा,Seehpura,y,1,सीहपुरा
सीह,Seeh,y,1,सीह
सेदगढी,Sedgadhi,,1,सेदगढी
सवांई,Savanee,y,6,सवांई
सौरई,Sauraee,y,4,"पर्वतपुर, सौरई"
सौरा,Saura,,3,"अयेला, सौरा"
सौर,Saur,,1,"अयेला, सौरा"
सौंन,Saunan,y,9,"अयेला, सौंन"
सौन,Saun,,1,वासौनी
सौहल्ला,Sauhalla,,4,नई आबादी सौहल्ला
सत्ता,Satta,,6,देव नगर कालोनी(सत्ता )
सतघउा,Satghada,,1,सतघउा
सतघडा,Satghada,,1,सतघडा
सतौली,Satauli,,5,नई आबादी सतौली
सरवनपुरा,Sarvanpura,,1,सरवनपुरा
सरूरपुर,Sarurpur,,1,सरूरपुर
सरसा,Sarsa,,6,सरसा
सरोखीपुरा,Sarokhipura,,1,सरोखीपुरा
सरकन्डखेडा,Sarkandkheda,,5,"पचावर, सरकन्डखेडा"
सर्जेपुर,Sarjepur,,1,सर्जेपुर
सरजैपुर,Sarjaipur,,1,सरजैपुर
सरेंधी,Sarendhi,,1,सरेंधी
सरबतपुर,Sarbatpur,,1,सरबतपुर
सरायदाउद,Saraydaud,y,3,सरायदाउद
सरायअहमद,Sarayahamad,,1,सरायअहमद
सराय,Saray,,50,कच्ची सराय
सारस,Saras,,4,"पड़रारी, भैंसारा, सारस"
सारंगपुर,Sarangpur,,3,सारंगपुर
सरैंडा,sarainda,,14,"अटा, सरैंडा"
सरैधी,Saraidhi,,16,"नगला कासिमपुर, सरैधी"
सन्तोषपुरा,Santoshpura,,1,सन्तोषपुरा
सन्तोकपुरा,Santokpura,,1,सन्तोकपुरा
सांथा,Santha,,7,"गढी चन्द्रमन, सांथा"
सन्नपुरा,Sannpura,,3,सन्नपुरा
साँखी,Sankhi,y,7,"सहार, साँखी"
सांखी,Sankhi,,1,सांखी
संकेत,Sanket,,10,गैस एजेन्सी से संकेत वाली सडक के मोड तक
संजेती,Sanjoti,,1,संजेती
सांधन,Sandhan,,2,खेडा सांधन
सांचोली,Sancholi,,6,सांचोली
सनौरा,Sanaura,,3,सनौरा
सामरा,Samra,,10,"सहनपुर, सामरा"
सम्पत्तिजोगी,Sampattijogi,,1,सम्पत्तिजोगी
समोगर,Samogar,,4,समोगर
समसपुर,Samaspur,,1,समसपुर
सामरमऊ,Samaramu,y,1,सामरमऊ
सलेमपुर,Salempur,,7,गोविन्द बिहार क ालौनी (सलेमपुर फरह
सलेमाबाद,Salemabad,,1,सलेमाबाद
सलाका,Salaka,,2,"पारसौली, सलाका"
सलैमावाद,Salaimavad,,10,"खेडा बाकन्दा, सलैमावाद"
सलैमाबाद,Salaimabad,,1,सलैमाबाद
सकना,Sakna,,1,सकना
सकीतरा,Sakitara,,17,केशोरैयाधाम क ालौनी (सकीतरा)
साकेतपुरी,Saketpuri,,1,साकेतपुरी
सकतपुर,Sakatpur,,10,"वैमन, सकतपुर"
सकरवा,Sakarva,,1,सकरवा
सकरबा,Sakarba,,4,सकरबा
सैंया,Sainya,,8,"शाहपुर नदीम, सैंया"
सैनवा,Sainva,,9,"रान्हेरा, सैनवा, रान्हेरा"
सैमरी,Saimari,,3,सैमरी
सैलखेड़ा,Sailkheda,,10,"जादौपुर, सैलखेड़ा, वरौली"
सैफ्फुद्दीनपुर,Saiffuddinpur,,1,सैफ्फुद्दीनपुर
सैदपुर,Saidpur,,14,"गडसौली, नगला बली, सैदपुर"
सैदगढ़ी,Saidgadhi,,1,सैदगढ़ी
सहता,Sahta,,3,"कुकथला, सहता"
सहगलपुरा,Sahgalpura,,1,सहगलपुरा
सहारा,Sahara,,1,सहारा
सहार,Sahar,,16,द्वारिका सिटी सहार
सहनपुर,Sahanpur,,11,"जाजोली, सहनपुर"
सहजुआ,Sahajaa,y,6,छिनगईआ सहजुआ
साहई,Sahai,y,1,साहई
सहाई,sahaee,y,6,"कुकथला, सहाई"
सगुनापुर,Sagunapur,,11,"कराहरा, सगुनापुर"
सागरिया,Sagriya,,1,सागरिया
सदूपुरा,Sadupura,,6,"पुसैंता, थपेड़ा, रहलई, सदूपुरा"
साधन,Sadhan,,20,खेडा साधन
सद्दीकपुर,Saddikpur,,3,"इब्राहीमपुर, शल्ल, सद्दीकपुर"
सददीकपुर,Saddikpur,,1,सददीकपुर
सदरवन,Sadarvan,,1,सदरवन
सदरपुर,Sadarpur,,1,सदरपुर
सबोरा,Sabora,,6,सबोरा
रूठरी,Ruthri,,2,रूठरी
रूँधऊ,Rundhau,y,1,रूँधऊ
रूनकता,Runakata,,4,"अकबरा, रूनकता"
रूदमुली,Rudmuli,,3,रूदमुली
रूदऊ,Rudau,y,7,रूदऊ
रोसू,Rosu,,1,रोसू
रुपपुर,Rooppur,,3,रुपपुर
रूपधनूँ,Roopdhanu,Y,1,रूपधनूँ
रूपपुरा,Roop pura,,1,रूपपुरा
रूपनगर,Roop nagar,,19,रूपनगर
रोझौली,Rojhauli,,6,"जैगारा, वाजीदपुर, रोझौली"
रोहता,Rohta,,3,रोहता
रिठोरा,Rithora,,4,"अखवाई, रिठोरा"
रिठौरी,Rithauri,,13,"अयेला, रिठौरी"
रीठौरा,Rithaura,,8,"रांकौली, रीठौरा, रीठौरा"
ऋषिपुरम,Rishipuram,,1,ऋषिपुरम
रिहावली,Rihavali,,1,रिहावली
रिछोहा,Richoha,,7,"अयेला, रिछोहा"
रीछापुरा,Richapura,,1,रीछापुरा
रेवाडपुरा,Revadpura,,1,रेवाडपुरा
रेहा,Reha,,3,रेहा
रीठई,Reethaee,y,3,रीठई
रायभा,Raybha,,10,"कठवारी, रायभा"
रायागली,Rayamali,,1,रायागली
रावली,Ravli,,4,कुरावली
रौसू,Rausu,,3,पी पी टाउन (रौसू)
रौसिंगा,Rausinga,,7,"छिकाड़ा, रौसिंगा"
रौहता,Rauhata,,6,रौहता
रौचीबांगर,Rauchibangar,,1,रौचीबांगर
रनपुरा,Ratpura,,1,करनपुरा
रतिपुरम,Rati puram,,1,रतिपुरम
राटौटी,Ratauti,,3,राटौटी
रतनपुरा,Ratanpura,,1,रतनपुरा
रतनकुण्ड,Ratankund,,1,रतनकुण्ड
रतनचौक,Ratanchauk,,1,रतनचौक
रतनछत्री,Ratan chatri,,1,रतनछत्री
रसूलपुर,Rasulpur,,25,"अटा, रसूलपुर"
रनवारी,Ranvari,,10,रनवारी
रांकोली,Rankoli,,1,रांकोली
रांकौली,Rankauli,,4,रांकौली
रानीपुरा,Ranipura,,3,रानीपुरा
रान्हेरा,Ranhera,,10,रान्हेरा
रमपुरा,Rampura,,1,प्यारमपुरा
रामपुर,Rampur,,17,"चीतपुर, विश्रामपुर, कागारौल"
रामकुंज,Ramkunj,,1,रामकुंज
रामजीद्वार,Ramji dwar,,1,रामजीद्वार
रामगढ़,Ramgadh,,1,रामगढ़
रामबाग,Rambag,,2,जयरामबाग कॉलोनी
रमणरेती,Ramanreti,,2,रमणरेती
रमनरेती,Ramanreti,,1,रमनरेती
रमनपुरी,Ramanpuri,,2,रमनपुरी
रमापुरम,Ramanlal,,2,रमापुरम
रामनगला,Ramangala,,2,रामनगला
रामाजीधाम,Ramajidham,,1,रामाजीधाम
रामवाटिका,Ram vatika,,1,रामवाटिका
रामनगर,Ram nagar,,8,इकरामनगर
रामघाट,Ram ghat,,1,रामघाट
राल,Ral,,2,उमराला
रकाबगंज,Rakabaganj,,1,रकाबगंज
रजवाडा,Rajvada,,1,रजवाडा
रजपुरा,Rajpura,,5,"मुखरई, रजपुरा"
राजपुर,Rajpur,,9,जगराजपुर
राजावाडी,Rajavadi,,1,राजावाडी
रजौरा,Rajaura,,3,पाहिरजौरा
रजरई,Rajaree,y,1,रजरई
राजामण्डी,Rajamandi,,3,न्यू राजामण्डी
राजनगर,Raj nagar,,1,गिर्राजनगर कालौनी
राजग्राम,Raj gram,,2,राजग्राम
रैपुराजाट,Raipurajat,,1,रैपुराजाट
रैपुरादीक्षित,Raipura dikshit,,1,रैपुरादीक्षित
रैपुरा,Raipura,,8,रैपुरा
रायपुर,Raipur,,19,"कारव 3/4, रायपुर मई वांगर, लोहवन"
रैंका,Rainka,,3,रैंका
राहमनपाडा,Rahmanpada,,1,राहमनपाडा
रहीमपुर,Raheempur,,3,रहीमपुर
रहेड़ा,Raheda,,6,रहेड़ा
रहेडा,Raheda,,1,रहेडा
रहनकला,Rahankala,,1,रहनकला
रहलई,Rahalaee,y,12,"पुसैंता, थपेड़ा, रहलई, सदूपुरा"
रघुपुरा,Raghupura,,4,रघुपुरा
रघूपुरा,Raghupura,,1,रघूपुरा
