og_representation,mapping,confusion,frequency,example
देवसेरस,Devseras,,1,देवसेरस
देवरी,Devri,,13,कौलक्खा (आगरा देवरी रोड)
देवपुरा,Devpura,,3,देवपुरा
देवलोकपुरी,Devlokpuri,,2,देवलोकपुरी
देवीपुरम,Devipuram,,1,देवीपुरम
देवनगर,Dev nagar,,3,देवनगर
देशलान,Deshlan,,1,देशलान
डेरासरस,Derasaras,,1,डेरासरस
डेरक,Derak,,3,डेरक
दीवाना,Deewana,,1,दीवाना
दीनपुरा,Deenpura,,1,दीनपुरा
दयौरेठा,Dayauretha,,3,दयौरेठा
दयालग्रीन,Dayalagrin,,1,दयालग्रीन
दयालनगर,Dayal nagar,,1,दयालनगर
दयालबाग,Dayal bag,,1,दयालबाग
डावली,Davli,,12,"अभुआपुरा T.A.बाहर, डावली, अभुआपुरा T.A.बाहर"
डावर,Davar,,8,"खेडा जाट, डावर"
दौताना,Dautana,,7,दौताना
दौरेठा,Dauretha,,1,दौरेठा
दौलतपुर,Daulatpur,,29,आर के पुरम क ालौनी (दौलतपुर फरह
दौलतावाद,Daulatavad,,6,"अछनेरा, दौलतावाद, नयावास"
डौकी,Dauki,,3,डौकी
दाऊजीधाम,Daujidham,y,1,दाऊजीधाम
दाऊदपुर,daudpur,y,7,"उत्तू, दाऊदपुर"
दतिया,Datiya,,1,दतिया
दर्जीपाडा,Darjipada,,1,दर्जीपाडा
दाऊद,Daood,y,1,"उत्तू, दाऊदपुर"
दनकशा,Dankasha,,1,दनकशा
डांडरा,Dandara,,1,डांडरा
डाँडा,Danda,y,10,"घुसियाना, डाँडा"
डांडा,Danda,,1,खैरडांडा
दामोदरपुरा,Damodarpura,,3,दामोदरपुरा
दामोदरपुरम,Damodar puram,,1,दामोदरपुरम
दलिहाई,Dalihaee,y,1,दलिहाई
दलौता,Dalauta,,9,"कोसीकलां, दलौता"
दहतोरा,Dahtora,,1,दहतोरा
डहरुआ,Dahruaa,,1,डहरुआ
डहरूआ,Dahruaa,,1,डहरूआ
डाहरौली,Dahroli,,6,डाहरौली
दहगवां,Dahgavan,y,1,दहगवां
दहगवाँ,Dahgava,y,10,दहगवाँ
दहगांव,Dahgaon,y,11,"कामर, कामर, दहगांव, कामर"
डगरूपुरा,Dagrupura,,1,डगरूपुरा
दघेटा,Dagheta,,6,दघेटा
दादूपुरा,Dadupura,,1,दादूपुरा
डडूकरा,Dadukara,,5,डडूकरा
डाडरा,Dadra,,1,डाडरा
डाडकी,Dadki,,1,डाडकी
डडीसरा,Dadisara,,3,डडीसरा
डाढ़की,Dadhki,,13,"छत्तापुरा, डाढ़की"
डाडा,Dada,,1,डाडा
डाबर,Dabur,,1,डाबर
डभाला,Dabhala,,7,डभाला
डबरई,Dabaraee,y,6,डबरई
काम्पलेक्स,Complex,,14,उपाध्याय काम्पलेक्स
चुरमुरा,Churmura,,1,चुरमुरा
चुरियारी,Churiyari,,2,चुरियारी
चूहरा,Chuhra,,1,चूहरा
चूहरपुर,Chuharpur,,3,चूहरपुर
चूराहंसी,Choorahansi,,2,चूराहंसी
चित्राहाट,Chitrahat,,1,चित्राहाट
चितौरा,Chitaura,,3,चितौरा
चिरहौली,Chirhauli,,1,चिरहौली
छीपीटोला,Chipitola,,13,चक्कीपाट ( बिजली घर बस स्टेण्ड से छीपीटोला सांई की तकिया चौराहे तक)
छीपीगली,Chipigali,,1,छीपीगली
चिन्तागढी,Chintagadhi,,1,चिन्तागढी
चिण्डौली,Chindauli,,1,चिण्डौली
चिल्लीपाड़ा,Chillipada,,2,चिल्लीपाड़ा
चीलगढ,Chilgadh,,1,चीलगढ
चिकसौली,Chiksauli,,6,चिकसौली
चीकनीपुरा,Chiknipura,,1,चीकनीपुरा
छिकाड़ा,Chikada,,10,छिकाड़ा
चेतकपुरम,Chetakpuram,,1,चेतकपुरम
चेतकपुर,Chetakpur,,1,चेतकपुर
चेकोरा,Chekora,,13,चेकोरा
चीतपुर,Cheetpur,,11,"कागारौल, चीतपुर"
चीत,Cheet,,14,"कागारौल, चीत"
चावली,Chavli,,3,चावली
चौथईया,Chauthaiya,y,1,चौथईया
चौरंगाहार,Chaurangahar,,3,चौरंगाहार
चौंसिंगी,Chaunsingi,,1,चौंसिंगी
चौमुहाँ,Chaumuha,y,7,चौमुहाँ
चौमाशाहपुर,Chaumashahpur,,1,चौमाशाहपुर
चौमाफरह,Chaumafarah,,2,"अरसैना, चौमाफरह"
छौली,Chauli,,7,"अवैरनी, छौली, बन्दी"
चौकड़ा,Chaukada,,3,चौकड़ा
चौकडा,Chaukada,,1,चौकडा
चौहटना,Chauhatna,,1,चौहटना
चौहरी,Chauhari,,1,चौहरी
चौगान,Chaugan,,1,चौगान
चौधरपाडा,Chaudharpada,,1,चौधरपाडा
चतुर्भुजी,Chaturbhuji,,1,चतुर्भुजी
छत्तापुरा,Chattapura,,3,छत्तापुरा
चटसाल,Chatsal,,1,चटसाल
छटीकरा,Chatikara,,5,छटीकरा
छाता,Chata,,23,छाता
चरीथा,Charitha,,3,चरीथा
चारबाग,Charbag,,1,चारबाग
छरौरा,Charaura,,3,अलवर पुल से छरौरा ग्राम की प्रारम्भिक सीमा तक
छरौंरा,Charaunra,,1,छरौंरा
छ्पेटी,Chapeti,,1,छ्पेटी
छपैटी,Chapaiti,,1,छपैटी
चाणक्यपुरी,Chankyapuri,,1,चाणक्यपुरी
चाँगौली,Changauli,,1,चाँगौली
चन्दसोरा,Chandsora,,1,चन्दसोरा
चन्दसौंरा,Chandsonra,y,1,चन्दसौंरा
चन्द्रसौरा,Chandrasaura,,5,"उदैना, चन्द्रसौरा"
चन्द्रपुरी,Chandrapuri,,1,चन्द्रपुरी
चन्द्रपुर,Chandrapur,,1,चन्द्रपुर
चन्द्रानगर,Chandra nagar,,1,चन्द्रानगर
चन्दोरी,Chandori,,6,चन्दोरी
चाँड़ी,Chandi,y,3,चाँड़ी
चाँडी,Chandi,,1,चाँडी
चंदौरी,Chandauri,,1,चंदौरी
चांचौंद,Chanchaund,y,4,"गुंगावद, चांचौंद"
चमरौली,Chamrauli,,7,चमरौली
चमरौला,Chamraula,,3,चमरौला
चमरौआ,Chamrauaa,y,1,चमरौआ
चमरगढी,Chamargadhi,,1,चमरगढी
छलेसर,Chalesar,,2,छलेसर
चकसावन्त,Chaksavant,,1,चकसावन्त
चकसामन्त,Chaksamant,,1,चकसामन्त
चकलेश्वर,Chakleshravar,y,1,चकलेश्वर
चक्कीपाट,Chakkipat,,2,चक्कीपाट
छाजू,Chaju,,3,छाजू
छगनपुरा,Chaganpura,,1,छगनपुरा
छड़गांव,Chadhgaon,,11,"खेडि़या, छड़गांव, छड़गांव, छड़गांव, छड़गांव"
चाचोंद,Chachond,,1,चाचोंद
ब्यौंही,Byaunhi,,11,"अनौड़ा, ब्यौंही"
ब्यारा,Byara,,2,ब्यारा
बुरहरा,Burhara,,12,"खानपुर, बुरहरा"
बुलाकपुर,Bulakpur,,2,बुलाकपुर
बुखरारी,Bukhrari,,6,बुखरारी
बुढेरा,Budhera,,1,बुढेरा
बुढाना,Budhana,,7,बुढाना
बुढैरा,Budhaira,,1,बुढैरा
बृजधाम,Brujdham,,5,बृजधाम
बृथला,Brithala,,1,बृथला
बृजबिहार,Brij bihar,,1,बृजबिहार
बृह्मनगर,Brihmnagar,,1,बृह्मनगर
ब्रजधाम,Brajdham,,4,ब्रजधाम
ब्रह्रमकुण्‍ड,Brahramkund,y,1,ब्रह्रमकुण्‍ड
ब्रहमपुरी,Brahampuri,,1,ब्रहमपुरी
ब्राहाम्णपुरी,Brahamnpuri,,1,ब्राहाम्णपुरी
ब्रहमकुण्‍ड,Brahamkund,,1,ब्रहमकुण्‍ड
ब्रहमनगर,Braham nagar,,2,ब्रहमनगर
बोरपा,Borpa,,4,बोरपा
बोदला,Bodla,,3,बोदला
बिवाबली,Bivabali,,1,बिवाबली
बीरवल,Birval,,3,बीरवल
बिरूनी,Biruni,,1,बिरूनी
बिरजापुर,Birjapur,,1,बिरजापुर
बिरहना,Birhana,,3,"पीरी, बिरहना"
बिरौना,Birauna,,1,बिरौना
बिन्दुवुलाकी,Binduvulaki,,2,"बाढ़ौन, बिन्दुवुलाकी"
बिन्दुबुलाकी,Bindubulaki,,1,बिन्दुबुलाकी
बिन्दागंज,Bindaganj,,1,बिन्दागंज
बिलौनी,Biloni,,6,बिलौनी
बिल्लोचपुरा,Billochpura,,1,बिल्लोचपुरा
बिल्हैनी,Bilhaini,,1,बिल्हैनी
बिलौठी,Bilauthi,,1,बिलौठी
बिलौडा,Bilauda,,1,बिलौडा
बिलन्दपुर,Bilandpur,,1,बिलन्दपुर
बिजवारी,Bijvari,,1,बिजवारी
बिजकौली,Bijkauli,,1,बिजकौली
बिझामई,Bijhamai,y,1,बिझामई
बिजौली,Bijauli,,6,बिजौली
बिहारीपुरा,Biharipura,,1,बिहारीपुरा
बिहारीपुर,Biharipur,,2,बांकेबिहारीपुरम
बिहारी,Bihari,,22,ओमआनन्द बिहारी क ालौनी (दौलतपुर फ
बिचपुरी,Bichpuri,,10,"खजूरी, बन्शै, बिचपुरी पोलुआ, भोजुआ"
बिचौला,Bichaula,,1,बिचौला
बिबावली,Bibavali,,3,"नीमगांव, पीरी, बिबावली"
भूतेश्र्वर,Bhyteshravar,y,7,एम0आर0 कॉम्पलैक्स (भूतेश्र्वर)
भूतेश्वर,Bhuteshravar,y,1,भूतेश्वर
भूरेका,Bhureka,,1,भूरेका
भूरा,Bhura,,5,दिवा अंश भूरा
भूडासनी,Bhudasni,,1,भूडासनी
भूड़ासानी,Bhudasani,,2,भूड़ासानी
भुडरसू,Bhudarsu,,1,भुडरसू
भुड़रसू,Bhudarsu,,1,भुड़रसू
भूडरी,Bhudari,,1,भूडरी
भूड़री,Bhudari,,1,भूड़री
भूड़ा,Bhuda,,8,भूड़ा
भोपुर,Bhopur,,25,"घुसियाना, नगला दूल्हे खॉ, भोपुर खेरागढ़"
भोनिगापुरा,Bhonigapura,,1,भोनिगापुरा
भोलेधाम,Bholedham,,3,भोलेधाम
भोजुआ,Bhojuaa,y,18,"इटौली, जगतिया, भोजुआ, खजूरी, नौरंगा"
भोजपुरा,Bhojpura,,1,भोजपुरा
भोजपुर,Bhojpur,,7,"चीत, कागारौल, भोजपुर"
भोगीपुरा,Bhogipura,,2,पुनीत अपार्टमेन्ट भोगीपुरा
भोगलपुरा,Bhogalpura,,1,भोगलपुरा
भिलावटी,Bhilavati,,10,भिलावटी
भिलावली,Bhilavali,,19,"ऊँटगिर, भिलावली"
भिड़ावली,Bhidavali,,8,"थपेड़ा, भिड़ावली"
भीतरी,Bheetari,,1,भीतरी
भीमा,Bheema,,3,गढी भीमा
भीम,Bheem,,7,गढी भीमा
भीकनपुर,Bheekanpur,,6,भीकनपुर
भवनपुरा,Bhavanpura,,5,"जगनेर, भवनपुरा"
भरतियाका,Bhartiyaka,,1,भरतियाका
भरतिया,Bhartiya,,13,"झरौठा, भरतिया"
भरतार,Bhartar,,1,भरतार
भरनाकलां,Bharnakala,y,6,भरनाकलां
भरऊगढ़,Bharaugadh,y,6,"नगला भरऊ, भरऊगढ़"
भरापुर,Bharapur,,1,भरापुर
भारा,Bhara,,8,"कठूमरी, भारा"
भनपुरा,Bhanpura,,4,पट्टी भनपुरा
भांकर,Bhankar,,12,"अयेला, भांकर"
भंगीपाडा,Bhangipada,,1,भंगीपाडा
भांडई,Bhandee,y,1,भांडई
भलोखरा,Bhalokhara,,1,भलोखरा
भालई,Bhalaee,y,3,"डडीसरा, भालई"
भाकर,Bhakar,,1,भाकर
भैंसौंन,Bhaisainan,y,2,भैंसौंन
भैसा,Bhaisa,,2,"टाउनएरिया राया ,भैसारा"
भैंसोंन,Bhainsonan,y,1,भैंसोंन
भैंसारा,Bhainsara,,13,"अचरू लधौरा, अचरू लधौरा, इटौली, भैंसारा"
भैंसा,Bhainsa,,2,"अचरू लधौरा, अचरू लधौरा, इटौली, भैंसारा"
भागूपुर,Bhagupur,,1,भागूपुर
भगोसा,Bhagosa,,1,भगोसा
भाघौर,Bhaghaur,,1,भाघौर
भगौसा,Bhagausa,,4,भगौसा
भगतुआ,Bhagatuaa,a,1,भगतुआ
भदरौली,Bhadrauli,,3,भदरौली
भडोखर,Bhadokhar,,7,भडोखर
भडकौल,Bhadkaul,,4,भडकौल
भडीरी,Bhadiri,,1,भडीरी
भदेरूआ,Bhaderuaa,y,1,भदेरूआ
भदाया,Bhadaya,,1,भदाया
भदावल,Bhadaval,,1,भदावल
भदौरा,Bhadaura,,1,भदौरा
भदार,Bhadar,,1,भदार
भदनवारा,Bhadanvara,,1,भदनवारा
भाडंई,Bhadanee,y,1,भाडंई
भाड़ई,Bhadaee,y,1,भाड़ई
बेरुका,Beruka,,1,बेरुका
बेरीचाहर,Berichahar,,1,बेरीचाहर
बेरी,Beri,,20,"कागारौल, बेरी चाहर"
बेरा,Bera,,2,बेरा
बेलनगंज,Belanganj,,2,बेलनगंज
बेगमपुर,Begampur,,8,बेगमपुर
बीसलपुर,Beesalpur,,4,बीसलपुर
बावरपुर,Bavarpur,,4,"गौहर्रा, बावरपुर"
बौद्वनगर,Baudva nagar,,1,बौद्वनगर
बटेश्वर,Bateshravar,y,1,बटेश्वर
बसेरीकाजी,Baserikaji,,3,बसेरीकाजी
बसौंती,Basaunti,,1,बसौंती
बसईखेरागढ,Basai kheragadh,y,1,बसईखेरागढ
बसई,Basai,y,68,"अयेला, बसई खेरागढ्"
बरसाना,Barsana,,9,चेतराम बरसाना वाली गली के दाेनो साइड
बरका,Barka,,12,बरका
बरहाना,Barhana,,9,बरहाना
बरहन,Barhan,,5,नई बस्ती बरहन रोड
बरहा,Barha,,3,बरहा
बरचावली,Barchavali,,1,बरचावली
बरौली,Barauli,,14,"अभुआपुराT.Aअंदर, अभैदोपुरा, बरौली, मोरी"
बरारी,Barari,,4,गुबरारी
बरारा,Barara,,1,बरारा
बरैन्डा,Barainda,,3,बरैन्डा
बारहपुरा,Barahpura,,1,बारहपुरा
बाराहघाट,Barah ghat,,1,बाराहघाट
बन्शै,Banshai,,12,"खजूरी, बन्शै, बिचपुरी पोलुआ, भोजुआ"
बनखण्डी,Bankhandi,,2,बनखण्डी
बांकेबिहारीपुरम,Bankebihari puram,,1,बांकेबिहारीपुरम
बनियांपाड़ा,Baniyanpada,y,1,बनियांपाड़ा
बांगकला,Bangkala,,4,बांगकला
बांईपुर,Baneepur,y,3,गढी बांईपुर खसरा नं0 1 से 800 तक
बन्दीद्वार,Bandidwar,,1,बन्दीद्वार
बन्दी,Bandi,,6,"अवैरनी, छौली, बन्दी"
बाँधनू,Bandhanu,y,1,बाँधनू
बंड़ौस,Bandaus,,1,बंड़ौस
बना,Bana,,8,"खिरारी, बना, बना, सीयरा, इटौली"
बमरौली,Bamrauli,,15,बमरौली
बामोली,Bamoli,,1,बामोली
बामौली,Bamauli,,1,बामौली
बमनपुरा,Bamanpura,,1,बमनपुरा
बालूगंज,Baluganj,,17,आकृति अपार्टमेन्ट बालूगंज
बल्टीकरी,Baltikari,,7,"जुगसना, बल्टीकरी"
बलरामपुर,Balrampur,,2,बलरामपुर
बलीपुर,Balipur,,1,बलीपुर
बल्हेरा,Balhera,,3,बल्हेरा
बल्हैरा,Balhaira,,7,धनोली ( बल्हैरा मोड श्रीराम गैस सर्विस चौराहे तक)
बल्देवपुरी,Baldevpuri,,1,बल्देवपुरी
बल्देवगढ,Baldevgadh,,1,बल्देवगढ
बल्देवराेड,Baldev road,,1,बल्देवराेड
बालाजीपुरम,Balajipuram,,1,बालाजीपुरम
बालाजीधाम,Balajidham,,1,बालाजीधाम
बलाई,Balaee,y,3,बलाई
बकालपुर,Bakalpur,,1,बकालपुर
बाकलपुर,Bakalour,,3,बाकलपुर
बकला,Bakala,,3,"नीमगांव, बकला"
बाजना,Bajna,,3,गोविन्दपुर में बाजना पुल के बगल से बाजना होकर अरहेरा गांव की सीमा तक
बाजिदपुर,Bajidpur,,1,बाजिदपुर
बजहेरा,Bajhera,,1,बजहेरा
बझेड़ा,Bajheda,,6,बझेड़ा
बझेडा,Bajheda,,1,बझेडा
बाजीदपुर,Bajeedpur,,7,बाजीदपुर
बाजारकलां,Bajarkala,y,1,बाजारकलां
बजरिया,Bajariya,,2,तमसर कुन्ज बजरियान
बाजार,Bajar,,93,असकुण्डा बाजार
बजाजा,Bajaja,,1,बजाजा
बैरी,Bairi,,1,बैरी
बैरागपुरा,Bairagpura,,1,बैरागपुरा
बाईपुर,Baipur,y,9,बाईपुर
बैनीपाडा,Bainipada,,1,बैनीपाडा
बैनई,Bainaee,y,1,बैनई
बैलोट,Bailot,,1,बैलोट
बैकुण्ठपुर,Baikunthpur,,1,बैकुण्ठपुर
बाईखेडा,Baikheda,y,3,बाईखेडा
बार्इंखेड़ा,Baikheda,y,1,बार्इंखेड़ा
भाऊपुरा,Bahupura,,3,भाऊपुरा
बहरावली,Bahravali,,1,बहरावली
बहेंटा,Bahenta,,1,बहेंटा
बहादुरपुरा,Bahadurpura,,1,बहादुरपुरा
बहादीन,Bahadin,,3,बहादीन
बाह,Bah,,1,अभुआपुरा T.A.बाहर
बाघर्रा,Baghrra,,1,बाघर्रा
बघरैना,Baghraina,,1,बघरैना
बाघोर,Baghor,,1,बाघोर
बघेलान,Baghelan,,3,बघेलान
बाघौर,Baghaur,,1,बाघौर
बगदा,Bagda,,1,बगदा
बागबुन्‍देला,Bagbundela,,1,बागबुन्‍देला
बडवाला,Badvala,,2,बडवाला
बदरौली,Badrauli,,5,"पाली किरावली, सोनोठी, बदरौली"
बाढपुरा,Badhpura,,3,बाढपुरा
बढौता,Badhauta,,1,बढौता
बाढ़ौन,Badhaun,,2,बाढ़ौन
बाढौन,Badhaun,,1,बाढौन
बाधरर्‌ा,Badhara,,1,बाधरर्‌ा
बादौठ,Badauth,,2,"गढ़ी कौलाहर, बादौठ, अहमदपुर"
बदनपुर,Badanpur,,12,"उऩ्देरा, बदनपुर बर्नामई"
बदनगढ़,Badangadh,,3,बदनगढ़
बदनगढ,Badangadh,,1,बदनगढ
बड़ागाँव,Badagaon,,1,बड़ागाँव
बाद,Bad,,10,अमानाबाद
बछगॉव,Bachhgaon,,1,बछगॉव
बछगाँव,Bachgaon,,5,बछगाँव
बबरौद,Babraud,,6,बबरौद
बाबरपुर,Babarpur,,2,बाबरपुर
अयोध्यापुरम,Ayodhya puram,,1,अयोध्यापुरम
अयोध्यानगर,Ayodhya nagar,,1,अयोध्यानगर
अयेरा,Ayera,,1,अयेरा
अयेला,Ayela,,18,अयेला
अयैरा,Ayaira,,1,अयैरा
अवाखेडा,Avakheda,,1,अवाखेडा
अवाखेड़ा,Avakheda,,1,अवाखेड़ा
अवैरनी,Avairni,,10,"अमीरपुर, अवैरनी"
अवधपुरी,Avadhpuri,,1,अवधपुरी
औरंगपुर,Aurangpur,,7,औरंगपुर
औलेन्डा,Aulenda,y,11,औलेन्डा
औछटा,Auchata,,7,औछटा
एत्माउददौला,Atmaduddaula,,1,एत्माउददौला
एत्मादोला,Atmadola,,1,एत्मादोला
अठखम्मा,Athkhamma,,1,अठखम्मा
अठखम्बा,Athkhamba,,1,अठखम्बा
अथाई,Athaee,y,5,अथाई
अटलवन,Atalvan,,1,अटलवन
अटा,Ata,,10,अटा
अस्तौली,Astauli,,6,अस्तौली
अरविन्दपुरम,Arvind puram,,1,अरविन्दपुरम
अरतोनी,Artoni,,1,अरतोनी
अरतौनी,Artauni,,6,अरतौनी
अरसेना,Arsena,,1,अरसेना
अरसैना,Arsaina,,11,अरसैना
अरनौटा,Arnauta,,3,अरनौटा
अर्जुनपुरा,Arjunnpura,,3,अर्जुनपुरा
अरहेरा,Arhera,,8,अरहेरा
अरेला,Arela,,2,अरेला
अरदाया,Ardaya,,9,अरदाया
अपुपमबाग,Apupambag,,1,अपुपमबाग
अनुपमबाग,Anupambag,,1,अनुपमबाग
अन्तापाडा,Antapada,,1,अन्तापाडा
अन्नापुरम,Annapuram,,1,अन्नापुरम
अंगूठी,Anguthi,,4,अंगूठी
अंगनपुरा,Anganpura,,4,अंगनपुरा
अनौड़ा,Anauda,,7,अनौड़ा
आनन्दपुरी,Anandpuri,,1,आनन्दपुरी
आनन्दीपुरम,Anandipuram,,1,आनन्दीपुरम
आनंदीपुरम,Anandipuram,,1,आनंदीपुरम
आनन्दधाम,Ananddham,,1,आनन्दधाम
आनन्दपुरम,Anand puram,,2,आनन्दपुरम
आनन्‍दकृष्‍णावन,Anand krishnavan,,1,आनन्‍दकृष्‍णावन
अमृतपुरी,Amritpuri,,1,अमृतपुरी
अमीरपुर,Ameerpur,,3,अमीरपुर
अम्बेडकरनगर,Ambedkar nagar,,2,अम्बेडकरनगर
अम्बाखार,Ambakhar,,1,अम्बाखार
अमरपुरा,Amarpura,,1,अमरपुरा
अमरदीप,Amardeep,,1,अमरदीप
अमानुल्लापुर,Amanullapur,,5,अमानुल्लापुर
अमानुल्ललापुर,Amanullalapur,,1,अमानुल्ललापुर
अमानाबाद,Amanabad,,1,अमानाबाद
अमाही,Amahi,,1,अमाही
अलवाई,Alvaee,y,6,अलवाई
अलकापुरी,Alkapuri,,1,अलकापुरी
अल्कापुरी,Alkapuri,,1,अल्कापुरी
अलीपुर,Alipur,,5,अलीपुर
अल्हैपुर,Alhaipur,,2,अल्हैपुर
अकोला,Akola,,1,अकोला
अखवाई,Akhvaee,y,7,अखवाई
अकबरपुर,Akbarpur,,4,अकबरपुर
अकवरपुर,Akbarpur,,1,अकवरपुर
अकबरा,Akbara,,9,अकबरा
अजनौठी,Ajnauthi,,6,अजनौठी
अजीजपुर,Ajijpur,,18,अजीजपुर
अहूरी,Ahuru,,2,अहूरी
अहमदपुर,Ahmadpur,,2,अहमदपुर
अहेरियान,Aheriyan,,3,अहेरियान
अहेरीपाडा,Aheripada,,1,अहेरीपाडा
अहीरपाडा,Aheerpada,,1,अहीरपाडा
अहारन,Aharan,,1,अहारन
अहमल,Ahamal,,1,अहमल
अगरयाला,Agaryala,,6,अगरयाला
अगरपुर,Agarpur,,1,अगरपुर
अगनपुरा,Aganpura,,1,अगनपुरा
अई,Ae,y,3,अई
अडूकी,Aduki,,1,अडूकी
अडीग,Adeeg,,3,अडीग
अदनबाग,Adanbag,,2,अदनबाग
अचरूल,Achrul,,1,अचरूल
अछनेरा,Achnera,,11,अछनेरा
अभयपुरा,Abhaypura,,7,अभयपुरा
अभयकुन्ज,Abhaykunj,,1,अभयकुन्ज
अभैदोपुरा,Abhaidopura,,15,"अभुआपुराT.Aअंदर, अभैदोपुरा, बरौली, मोरी"
अभैदोंपुरा,Abhaidopura,,1,अभैदोंपुरा
आसफाबाद,Aasfabad,,2,आसफाबाद
आर्यनगर,Aary nagar,,1,आर्यनगर
आन्यौर,Aanyaur,,7,आन्यौर
आँवलखेड़ा,Aanvalkheda,y,3,आँवलखेड़ा
आलमपुर,Aalampur,,1,आलमपुर
आलमगंज,Aalamganj,,1,आलमगंज
आजनोख,Aajnokh,,8,आजनोख
आजनौख,Aajnaukh,,1,आजनौख
आझईकलां,Aajhaikala,y,1,आझईकलां
आजमपुर,Aajampur,,1,आजमपुर
आजमपाड़ा,Aajampada,,1,आजमपाड़ा
आहीरपारा,Aaheerpara,y,1,आहीरपारा
आगई,Aagaee,y,8,आगई
आदमपुर,Aadampur,,7,आदमपुर
खेडि़या,,Y,11,कलाल खेडि़या
मङोली,,y,8,मङोली
अ़़टूस,,y,6,अ़़टूस
एेंच,,y,6,एेंच
आैंध,,y,3,आैंध
बसईअरेला,,y,3,बसईअरेला
विदरई,,Y,3,विदरई
कहरई,,y,2,कहरई
बस्तई,,y,2,"कादऊ वारऊ, बस्तई"
कोलिहाई,,Y,2,कोलिहाई
खाडि़या,,Y,2,खाडि़या
नुनिहाई,,y,2,नुनिहाई
भाहई,,y,2,"बरारी, भाहई"
मगटई,,y,2,मगटई
रदोई,,Y,2,रदोई
डँूगरवाला,,y,1,डँूगरवाला
धौरर्ा,,y,1,धौरर्ा
सरजैप्‌ुर,,Y,1,सरजैप्‌ुर
ेकढेरपुरा,,y,1,ेकढेरपुरा
ैजैतपुर,,y,1,ैजैतपुर
ैनैनानाजाट,,y,1,ैनैनानाजाट
खडि़हा,,,1,खडि़हा
