word,translation,confusion,example,frequency
पश्चिमी,,t,नगर पंचायत बरसाना (मौहल्ला पश्चिमी कटरा बाग वाला),2
पाइसा,,t,नगला पाइसा नगर पालिका मथुरा,1
पाईसा,,t,नगला पाईसा,1
पांच,Paanch,t,वार्ड नंम्बर पांच नगर पंचायत राया,1
पाडा,Panda,,अहीरपाडा,11
पाराशर,Parashar,,गली पाराशर दितिय,1
पालिक,Palaka,,अठखम्बा नगर पालिका वृन्दावन,29
पालिका,Palika,t,अठखम्बा नगर पालिका वृन्दावन,88
पालीखेडा,Pali Kheda,t,पालीखेडा,1
पिनाहट,Pinahat,,नगर पंचायत पिनाहट,1
पी,,t,अंसल ए पी आई पनवारी,2
पुख्ता,Pukhta,,सराय पुख्ता,1
पुर,,t,अकबरपुर,1
पुरा,,t,अभयपुरा राजस्व ग्राम,2
पुराना,Purana,t,नगर पंचायत बरसाना (मौहल्ला सुदामा पुराना अडडा रंगीली गली),4
पुरानी,Purani,t,मु० उखर्रा पुरानी आबादी,2
पूरनाथोक,,t,नगर पंचायत सौख वार्ड 09 पूरनाथोक,2
पूर्वी,Purvi,,नगर पंचायत बरसाना (मौहल्ला पूर्वी कटरा),2
पेंठगली,,t,पेंठगली,1
पैंठ,Painth,,पैंठ नगर पंचायत फरह,1
पोईया,Poiya,,पोईया (मोजा ),1
प्याऊ,Pyau,,धौली प्याऊ,2
प्रजापति,Prajapati,,होली प्रजापति नगर पंचायत बल्‍देव,1
प्रताप,Pratap,t,प्रताप नगर,2
प्रथम,Pratham,t,कल्यान सागर प्रथम,12
प्रसाद,Prasad,t,कान्‍ती प्रसाद नगर पंचायत बल्‍देव,1
प्राधिकारण,,t,"आगरा, आगरा विकास प्राधिकारण आगरा",4
फतेह,,t,आगरा फतेह0सी0भरतपुर,1
फतेहाबाद,Fatehabad,,नगर पंचायत फतेहाबाद,11
फरह,Farah,,कढेर पुरा नगर पंचायत फरह,17
बगदा,Bagda,t,बगदा,1
बगौर,Bangar,,बगौर स्टेशन बाजार,1
बजरियान,Bazarian,,तमसर कुंज बजरियान नगर पंचायत गोवर्धन,1
बजार,Bazaar,t,मौहल्ला बजार नगर पंचायत चौमुहा,1
बजेहरा,Bajhera,,बजेहरा 1,3
बठैनकलां,Bathain Kalan,,बठैनकलां,1
बडा,Bada,,बडा बाजार नगर पंचायात बाजना,1
बद्री,Badri,,बद्री नगर,2
बनिया,Baniya,,नगर पंचायत छाता (बनिया पाडा-सत्यनारायण),1
बनियापाडा,,t,मौहल्ला बनियापाडा सत्यनारायण नगर पंचायत छाता,1
बनी,Bani,,बनी इसराइल,1
बमरोली,Bamroli,,बमरोली अहीर,2
बमरौली,Bamroli,,बमरौली अहीर,2
बरसाना,Barsana,,नगर पंचायत बरसाना (मौहल्ला चैना क ा थोक),20
बरसानाृ,Barsana,,मौहल्ला सुदामा पुराना अडडा रंगीली गली नगर पंचायत बरसानाृ,2
बरहाना,Barahana,,बरहाना,1
बरारा,Barara,,बरारा,1
बरारी,Barari,,बरारी,1
बरूआ,Barua,,बरूआ नगर ‚ चित्रगुप्त नगर,1
बरोली,Barauli,,बरोली अहीर,1
बरौली,Barauli,,बरौली अहीर,1
बल्देव,Baldev,,जगन्‍नाथपुरी नगर पंयायत बल्देव,41
बल्‍देव,Baldev,,कान्‍ती प्रसाद नगर पंचायत बल्‍देव,6
बल्देवगंज,Baldev ganj,,नगर पालिक ा परिषद कोसीकलांॅ (बल्देवगंज),2
बल्हेरा,Balhera,,बल्हेरा राजस्व ग्राम,3
बस,Bas,,"जगनेर,बसेडी रोड पर",1
बसई,Basai,,बसई,2
बसुआ,,t,नगला बसुआ राजस्व ग्राम,1
बसेडी,Basedi,,"जगनेर,बसेडी रोड पर",1
बस्,,t,नगर पंचायत सौख वार्ड 02 वाल्मीकि बस्,1
बस्ती,Basti,,वाल्मीकि बस्ती नगर पंचायत सौंख,2
बहाल,Bahali,,घाटी बहाल राय,1
बहालराय,Bahal Rai,,घाटी बहालराय नगरपालिका मथुरा,1
बहिस्ताबाद,,t,सिकन्दरा बहिस्ताबाद,1
बांईपुर,,t,बांईपुर,2
बाकलपुर,Bakalpur,,बाकलपुर,1
बांके,Banke,,नगर पालिका वृन्दावन वार्ड 21 बांके बिह,1
बांकेबिहारी,Banke Bihari,,बांकेबिहारी कालौनी नगर पालिका वृन्दावन,1
बाग,Bagh,,गोपीनाथबाग नगर पालिका वृन्दावन,2
बागकलां,Baghwali,,बागकलां,4
बांगर,Bangar,,अब्दुल नवीपुर बांगर,20
बागवाला,Baghwala,,बागवाला मौहल्ला पंचायत गोकुल,1
बाजना,Bajna,,आर्यनगर नगर पंचायत बाजना,11
बाजार,Bazaar,,कटरा बाजार नगर पंचायत राया,7
बाडा,,t,हरिश चन्द का बाडा नगर पंचायत गोवर्धन,1
बाद,,t,औरंगाबाद बांगर,1
बाबरपुर,Babarpur,,बाबरपुर,2
बारऊ,,t,कांदऊ बारऊ 1,2
बार्ड,Bardh,,बार्ड का अतिरिक्त नगर पंचायत छाता,3
बालूगंज,Balugan,,बालूगंज छीपीटोलारोड,2
बाल्मिक,Valmiki,,नगर पंचायत बरसाना (मौहल्ला जाटवान बाल्मिक),2
बास,,t,"छाता, मौहल्ला करीमुल्ला बास नगर पालिका कोसीकलां",20
बांस,,t,नया बांस 1,2
बाह,,t,नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास बाहरी क्षेत्र),6
बाहर,,t,नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास बाहरी क्षेत्र),11
बाहरी,,t,नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास बाहरी क्षेत्र),2
बिचपुरी,Bichpuri,,बिचपुरी,1
बिडला,,t,बिडला मन्दिर,2
बिरजापुर,,t,बिरजापुर,1
बिह,,t,कृष्ण बिहार नगर पंचायत गोवर्धन,1
बिहार,Bihar,,कृष्ण बिहार नगर पंचायत गोवर्धन,1
बिहारी,Bihari,t,नगर पालिका वृन्दावन वार्ड 22 बिहारीपु,1
बिहारीपु,Biharipur,,नगर पालिका वृन्दावन वार्ड 22 बिहारीपु,1
बिहारीपुरा,Biharipura,,बिहारीपुरा नगर पालिका वृन्दावन,1
बीच,,t,नगर पंचायत छाता (बीच क ा थोक),2
बुढेरा,Budhera,,बुढेरा,1
बोदला,Bodla,,बोदला,1
बोर्ड,,t,छावनी बोर्ड,1
बौहरेवाला,Barwala,,बौहरेवाला नगर पंचायत बल्देव,1
ब्रजनगर,,t,ब्रजनगर नगर पंचायत बाजना,1
ब्रहमणान,,t,गोवर्धन ब्रहमणान,1
ब्रह्रमकुण्ड,Brahma Kund,,नगर पालिका वृन्दावन वार्ड 23 ब्रह्रमकुण्ड,2
ब्राहमण,,t,नैनाना ब्राहमण चुंगी अन्दर राजस्व ग्राम,2
ब्राहाम्णपुरी,,t,नगर पालिक ा परिषद कोसीकलांॅ (ब्राहाम्णपुरी),2
ब्रिज,Bridge,t,नगर पालिका अन्दर यमुना ब्रिज से लक्ष्मीनगर तिराहे तक,1
ब्लाक,,t,खेरागढ ब्लाक,1
भगतुआ,Bhagatua,,भगतुआ,1
भरतपुर,Bharatpur,,आगरा फतेह0सी0भरतपुर,3
भरतिया,Bhartiya,,भरतिया,1
भरनी,Bharna,,भरनी 1,1
भवनपुरा,Bhavanpura,,भवनपुरा,1
भाडई,Bhandai,,भाडई राजस्व ग्राम,1
भातू,Bhatu,,नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास भातू क ालोनी),2
भूतेश्र्वर,Bhuteshwar,,भूतेश्र्वर,1
भूतेश्वर,Bhuteshwar,,भूतेश्वर नगर पालिका मथुरा,1
भूरा,Bhura,,मौहल्ला दिवा अंश भूरा नगर पंचायत नन्दगांव,4
भोलेश्र्वर,Bhuteshwar,,नगर पंचायत राया वार्ड 02 भोलेश्र्वर,1
भोलेश्वर,Bhuteshwar,,भोलेश्वर कालौनी नगर पंचायत राया,1
मई,Mai,,मई मिर्जापुर बांगर,2
मऊ,Mau,,मऊ,3
मघटई,Maghatai,,मघटई,1
मटिया,Mathiya,,मटिया गेट,2
मंडी,Mandi,,नगर पंचायत सौख वार्ड 06 कटरा मंडी,1
मंडीखाम,,t,माैहल्ला मंडीखाम नगर पालिका कोसीकलां,1
मण्टोला,,t,मण्टोला रकाबगंज वार्ड,1
मण्डी,Mandi,,कटरा मण्डी नगर पंचायत सौंख,9
मथुरा,Mathura,,अम्बाखार नगरपालिका मथुरा,56
मथ्‌ुरा,Mathura,,आगरा मथ्‌ुरा रोड पर,1
मदन,Madan,,नगर पालिका वृन्दावन वार्ड 10 मदन मोह,1
मदनमोहन,Madam Mohan,,मदनमोहन घेरा नगर पालिका वृन्दावन,1
मंदि,,t,तराश मंदिर नगर पालिका वृन्दावन,1
मंदिर,Mandir,,तराश मंदिर नगर पालिका वृन्दावन,3
मन,,t,केशोपुर मनोहरपुर,1
मनी,Mani,,"नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास, आर्य नगर)",4
मनीराम,Maniram,,"नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास, आर्य नगर)",11
मनीरामबास,Maniram Bas,,मौहल्ला मनीरामबास पंजाबी कालौनी नगर पालिका कोसीकलां,1
मनोरंजन,Manoranjan,,मीरा मनोरंजन नगर पंचायत राधाकुण्ड,1
मनोरंजन,Manoranjan,,केशोपुर मनोहरपुर,1
मनोहरपुरा,Manoharpur,,मनोहरपुरा द्वितीय,4
मन्दिर,Mandir,,नगर पालिक ा परिषद कोसीकलांॅ (रामनगर क ाली क ा मन्दिर),4
मलपुरा,Malpura,,मलपुरा राजस्व ग्राम,3
मल्हैं,,t,मल्हैं,1
मवेशियान,,t,मवेशियान नगर पंचायत राया,1
महल,Mahal,t,महल हंसारानी हरदेव नगर पंचायत गोवर्धन,1
महादेव,Mahadev,t,महादेव गंज नगर पंचायत बाजना,1
महावन,Mahavan,,अहीरपाडा नगर पंचायत महावन,12
महाविद्या,Mahavidya ,,महाविद्या,1
महाविद्‍या,Mahavidya ,,महाविद्‍या नगरपालिका मथुरा,1
महोली,Maholi,,महोली,1
मांट,Mant,,तहसील मांट के अतिविशिष्ट राजस्व ग्राम,18
मारूफ,Maroof,,नगर पंचायत चौमुहाँ (मारूफ),5
मार्ग,Marg,,गोवर्धन के मुख्य मार्ग (रोड सेगमेंट),11
मालियान,,t,नगला मालियान,4
मालीपाडा,,t,मालीपाडा नगर पंचायत गोकुल,2
माैहल्ला,Mohalla,t,माैहल्ला गोपाल नगर नगर पालिका कोसीकलां,2
मियांपुर,Miyapur,,मियांपुर,1
मिर्जापुर,Mirzapur,,मई मिर्जापुर बांगर,1
मिलक,Milak,,मिलक किशन चौबे,1
मीना,Meena,,मीना पाडा नगर पंचायत महावन,1
मीरा,Meera,,नगर पंचायत राधाकुण्ड वार्ड 08 मीरा मन,2
मु,,t,गोर्वधन नगर पालिक ा की मुख्य सडकें,3
मुख्य,,t,गोर्वधन नगर पालिक ा की मुख्य सडकें,10
मुडिया,Mudia,,मुडिया खेडा,1
मुतबल्लियान,,t,मुतबल्लियान,1
मुबारिकपुर,Mubarikpur,,मुबारिकपुर बांगर,1
में,,t,अपार्टमेंट व काम्पलैक्स,2
मेहरानाहरगंज,Mehra Naharganj,,मेहरानाहरगंज राजस्व ग्राम,1
मोजा,,t,पोईया (मोजा ),1
मोती,Moti,,मोती कुंज,1
मोतीकुंज,Moti Gunj,,मोतीकुंज नगर पालिका मथुरा,1
मोह,,t,नगर पालिका वृन्दावन वार्ड 10 मदन मोह,1
मोहन,Mohan,,मदनमोहन घेरा नगर पालिका वृन्दावन,1
मोहनपुरा,Mohan Pura,,मोहनपुरा-रकाबगँज वार्ड,1
मोहल्ला,,t,मोहल्ला गुसाई नगर पंचायत नन्दगांव,1
मौ,,t,"छाता, मौहल्ला करीमुल्ला बास नगर पालिका कोसीकलां",4
मौहम्मदपुर,Mohammdpur,,मौहम्मदपुर,1
मौहल्ला,,t,"छाता, मौहल्ला करीमुल्ला बास नगर पालिका कोसीकलां",78
मौहल्ले,,t,शेष मौहल्ले-रकाबगँज वार्ड,1
यमुना,Yamuna,,ताज/यमुना एकसप्रेस वे सहारे के राजस्व ग्राम,2
यादवान,Yadavan,,नगर पंचायत बरसाना (मौहल्ला यादवान),2
यू,,t,ट्यूबवैल कालोनी हनुमान नगर,1
रकाबगँज,Rakabganj,,ईदगाह-रकाबगँज वार्ड,10
रकाबगंज,Rakabganj,,मण्टोला रकाबगंज वार्ड,2
रंगीली,Rangeeli,,नगर पंचायत बरसाना (मौहल्ला सुदामा पुराना अडडा रंगीली गली),2
रजरई,Rajai,,रजरई,1
रढिया,,t,रढिया 1,2
रमणरेती,Raman Reti,,नगर पालिका वृन्दावन वार्ड 16 रमणरेती,2
रा,,t,अजीजपुर राजस्व ग्राम,1
रांची,Ranchi,,रांची बांगर,1
राज,Raj,,अजीजपुर राजस्व ग्राम,1
राजपुर,Rajpur,,राजपुर बांगर,1
राजस्व,,t,अजीजपुर राजस्व ग्राम,85
राजस्वग्राम,,t,सिकन्दरपुर राजस्वग्राम,1
राजस्व्,,t,गोवर्धन विकास खण्ड के सामान्य राजस्व्,1
राठौर,Rathore,t,नगर पालिक ा परिषद कोसीकलांॅ (राठौर नगर कचेरा बास),1
राठौरा,Rathora,t,मौहल्ला राठौरा नगर कचेरा बास नगर पालिका कोसीकलां,1
राधा,Radha,,कुम्हारान नगर पंचायत राधाकुण्ड,2
राधाकुण्ड,Radha Kund,,कुम्हारान नगर पंचायत राधाकुण्ड,21
राधाकुण्‍ड,Radha Kund,,राधाकुण्‍ड,1
राधाकृष्‍ण,Radhakrishna,,राधाकृष्‍ण मंदिर नगर पंचायत राधाकुण्ड,1
राधाकृष्ण्,Radhakrishna,,नगर पंचायत राधाकुण्ड वार्ड 06 राधाकृष्ण्,1
राधानगर,Radha Nagar,,नगर पंचायत बरसाना (मौहल्ला नई क ालोनी राधानगरी),1
राधानगरी,Radha Nagari,,नगर पंचायत बरसाना (मौहल्ला नई क ालोनी राधानगरी),2
राधानिवा,,t,नगर पालिका वृन्दावन वार्ड 03 राधानिवा,3
राधानिवास,Radha Nivas,,राधानिवास २,2
रानी,Rani,,महल हंसारानी हरदेव नगर पंचायत गोवर्धन,1
रानीमण्डी,,t,रानीमण्डी नगर पालिका मथुरा,1
राम,Ram,t,अजीजपुर राजस्व ग्राम,1
रामदास,Ram das,,मण्डी रामदास,2
रामनगर,Ram Nagar,,नगर पालिक ा परिषद कोसीकलांॅ (रामनगर क ाली क ा मन्दिर),3
राय,Rai,t,अध्यापक कालौनी नगर पंचायत राया,1
रायपुर,Raipur,,रायपुर मई बांगर,1
राया,,t,अध्यापक कालौनी नगर पंचायत राया,65
रावल,,t,किरावली,1
राहमनपाडा,,t,मौहल्ला हरनाथिया राहमनपाडा नगर पंचायत छाता,1
रीढा,,t,रीढा नगर पंयायत बल्देव,1
रूनकता,Runkata,,किरावली रूनकता रोड,1
रूनक्ता,Runkata,,आस्था सिटी –रूनक्ता,1
रेतिया,retiya,,रेतिया नगर पंचायत महावन,1
रेलवे,Railway,t,"नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास, रेलवे एरिया)",5
रेवाडपुरा,,t,रेवाडपुरा नगर पंचायत बाजना,1
रोड,Road,t,आगरा ग्वालियर रोड,23
रोहता,Rohta,,रोहता राजस्व ग्राम,1
रौसू,,t,रौसू,1
रौहता,Rohta,,रौहता राजस्व ग्राम,6
लकावली,Lakavali,,लकावली,1
लक्ष्मी,Lakshmi,,नगर पालिका अन्दर यमुना ब्रिज से लक्ष्मीनगर तिराहे तक,1
लक्ष्मीनगर,Lakshmi Nagar,,नगर पालिका अन्दर यमुना ब्रिज से लक्ष्मीनगर तिराहे तक,1
लखनपुर,Lakhan Pur,,खेरा0 से लखनपुरा रोड,1
लखनपुरा,Lakhan Pura,,खेरा0 से लखनपुरा रोड,1
लड़ामदा,Laramda,,लड़ामदा,1
लडूका,,t,मौहल्ला छाजू अंश लडूका नगर पंचायत नन्दगांव,1
ललुअा,Lalaua,,ललुअा,1
लश्कर,Laskhar,,लश्कर पुर,1
लाइन,,t,सिविल लाइन,1
लाईन,,t,सिविल लाईन नगरपालिका मथुरा,1
लादूखेडा,Ladukhera,,सैंया से लादूखेडा रोड,1
लाल,Laal,t,कलाल खेडिया,2
लालराम,Lalaram,,मौहल्ला हरदेवगंज लालराम मार्ग नगर पालिका कोसीकलां,1
लालाराम,Lalaram,,नगर पालिक ा परिषद कोसीकलांॅ (हरदेवगंज लालाराम मार्ग),1
लोधई,Lodhai,,लोधई,1
लोहवन,Lohvan,,लोहवन,1
लोहामंडी,Loha Mandi,,लोहामंडी,1
लोहामण्डी,Loha Mandi,,लोहामण्डी,2
व,,t,अजीजपुर राजस्व ग्राम,3
वनखण्डी,Vankhandi,,नगर पालिका वृन्दावन वार्ड 18 वनखण्डी,2
वहबूदिया,,t,नगर पंचायत बरसाना (मौहल्ला टाटिया वहबूदिया),1
वा,,t,अंसल ए पी आई पनवारी,1
वाद,Vaad,,नवादा,12
वार्ड,Ward,t,ईदगाह-रकाबगँज वार्ड,135
वाला,,t,नगर पंचायत बरसाना (मौहल्ला पश्चिमी कटरा बाग वाला),3
वाले,,t,यमुना एक्सप्रेस वे के अन्तर्गत पडने वाले राजस्व ग्राम,1
वाल्मीक,,t,नगर पंचायत सौख वार्ड 02 वाल्मीकि बस्,1
वाल्मीकि,Valmiki,,नगर पंचायत सौख वार्ड 02 वाल्मीकि बस्,2
वांस,,t,वांस दरवाजा नगर पंचायत गोकुल,1
वि,,t,अतिविशिष्ट ग्राम,1
विकास,Vikas,,"आगरा, आगरा विकास प्राधिकारण आगरा",13
विशिष्ट,Vishisht,,अतिविशिष्ट ग्राम,2
विश्ष्टि,Vishisht,,गोबर्धन विकास खण्ड के अति- विश्ष्टि राज,4
विसा,,t,गुहेता दस विसा,1
विहारी,Vihari,,विहारी जी नगर पंचायत राया,1
वृ,,t,अठखम्बा नगर पालिका वृन्दावन,1
वृन्,,t,अठखम्बा नगर पालिका वृन्दावन,1
वृन्दावन,Vrindavan,,अठखम्बा नगर पालिका वृन्दावन,66
वृन्‍दावन,Vrindavan,,वृन्‍दावन खादर,2
वे,,t,ताज/यमुना एकसप्रेस वे सहारे के राजस्व ग्राम,2
व्यवसायिक,,t,व्यवसायिक क ाम्पलैक्स,1
व्यापारियान,Vyapariyan,,नगर पंचायत राया वार्ड 11 मौ0 व्यापारियान,5
व्यौपारियान,Vyapariyan,,व्यौपारियान नगर पंचातय महावन,1
शमशाबाद,Shamshabad,,नगर पालिका परिषद शमशाबाद,2
शहजादपुर,Shahjadpur,,शहजादपुर टप्पा सोनई,1
शहर,,t,सुनरटटी दितिय तकिया शहर,1
शान्ती,Shanti,t,शान्ती नगर,2
शाही,Shahi,,नगर पालिक ा परिषद कोसीकलांॅ (तालाब शाही),3
शिवक,Shivank,,नगर पंचायत छाता (शिवक ालोनी),1
शिवकालौनी,Shiva Colony,,मौहल्ला शिवकालौनी नगर पंचायत छाता,1
शिवदत्त,Shivdatt,,गली शिवदत्त नगर पंचायत राया,1
शिवदास,Shivdas,,कटरा शिवदास,1
शिवपुरी,Shivpuri,,नगर पंचायत राया वार्ड 03 शिवपुरी द्वितीय,5
शिवाजीनगर,Shivaji Nagar,,शिवाजीनगर नगर पंचायत बाजना,1
शिवाल,,t,शिवाल,1
शिावपुरी,Shivapuri,,शिावपुरी द्रितीय नगर पंचायत राया,1
शेखान,,t,नगर पालिक ा परिषद कोसीकलांॅ (शेखान),3
शेरगढ,Shergarh,,नगर पंचायत छाता (शेरगढ रोड),3
शेष,Shesh,,शेष मौहल्ला ग्रामीण,2
शैखान,Shaikhan,,नगर पंचायत राया वार्ड 12 मौ0 शैखान,1
श्रोतीपाडा,,t,श्रोतीपाडा नगर पंचायत महावन,1
सकराया,Sakraya,,सकराया बांगर,1
सकीतरा,,t,सकीतरा,1
संकेत,Sanket,,संकेत,1
सज्जादा,,t,सज्जादा नशीन,1
सडक,,t,गोर्वधन नगर पालिक ा की मुख्य सडकें,1
सडकें,,t,गोर्वधन नगर पालिक ा की मुख्य सडकें,2
सतघडा,,t,सतघडा,2
सतोहा,Satoha,,सतोहा असगरपुर,1
सत्यनारायण,,t,नगर पंचायत छाता (बनिया पाडा-सत्यनारायण),2
सदर,Sadar,,मालियान सदर,2
सदरवन,Sadarban,,सदरवन,1
सदौला,,t,नगला सदौला,1
सन्तोष,Santosh,,सन्तोष नगर,1
सब्जी,Sabzi,t,सब्जी मण्डी नगर पंचायत गोवर्धन,1
समीपवर्ती,,t,नगर पालिका के समीपवर्ती ग्राम,1
सम्पत्ति,,t,लक्ष्मी मन्दिर नारायन सडक पर स्थित सम्पत्ति का छोडकर नगर पंचायत गोवर्धन,1
सरजैपुर,,t,सरजैपुर राजस्व ग्राम,1
सराय,Sarai,,नगर पालिक ा परिषद कोसीकलांॅ (सराय निक ास),13
सरायशाही,Sarai Shahi,,मौहल्ला सरायशाही नगर पंचायत छाता,1
सरायाशाही,Sarai Shahi,,नगर पंचायत छाता (सरायाशाही),1
सर्जेपुर,,t,सर्जेपुर,1
सलेमपुर,Salempur,,सलेमपुर,2
सहज,Sahaj,,छिनगईयां सहजुआ नगर पंचायत सौंख,1
सहजुआ,,t,छिनगईयां सहजुआ नगर पंचायत सौंख,4
सहार,Sahar,,ताज/यमुना एकसप्रेस वे सहारे के राजस्व ग्राम,1
सहारे,Sahar,,ताज/यमुना एकसप्रेस वे सहारे के राजस्व ग्राम,1
साई,Sai,,कसाई पाडा नगर पंचायत गोवर्धन,1
साक्षी,Sakshi,,साक्षी गोपाल चकलेश्वर नगर पंचायत गोवर्धन,1
सागर,Sagar,,कल्यान सागर दितिय,2
सागरिया,,t,सागरिया,1
साठाबाडिया,,t,नगर पालिक ा परिषद कोसीकलांॅ (साठाबाडिया बास),2
सामान्य,,t,गोवर्धन विकास खण्ड के सामान्य राजस्व्,5
सारस्वत,Saraswat,,सारस्वत पाडा नगर पंचायत फरह,1
सिकन्दरपुर,Sikandarpur,,सिकन्दरपुर,2
सिकन्दरा,Sikandara,,सिकन्दरा बहिस्ताबाद,1
सिटी,,t,आस्था सिटी –रूनक्ता,1
सिरौली,सिरौली,,सिरौली राजस्व ग्राम,3
सिविल,,t,सिविल लाइन,2
सिंह,,t,जयसिंहपुरा,1
सिहाना,Sihana,,सिहाना,1
सी,,t,आगरा फतेह0सी0भरतपुर,3
सीकरी,Sikri,,सीकरी,1
सींगू,,t,नगर पंचायत छाता (सींगू थोक),2
सीमा,Seema,t,उपर्युक्त के अतिरिक्त अन्दर नगर पंचायत सीमा गोवर्धन,11
सीमेंट,,t,सीमेंट पत्थर रोड नगर पंचायत सौंख,1
सु,,t,गडा पचौरी तृतीय सुनरटटी तृतीय,1
सुखदेव,Sukhdev,,सुखदेव नगर,2
सुदामा,Sudama,,नगर पंचायत बरसाना (मौहल्ला सुदामा पुराना अडडा रंगीली गली),2
सुनरख,Sunrakh,,सुनरख बांगर,1
सुनरटटी,,t,गडा पचौरी तृतीय सुनरटटी तृतीय,3
सुनारी,Sunari,,सुनारी,1
सुरीर,Surir,,सुरीर के मुख्य मार्ग,1
सुल्तानगंज,Sultanganj,,नगर पंचायत राया वार्ड 13 मौ0 सुल्तानगंज,2
से,,t,आगरा से तांतपुर रोड,8
सेगमेंट,,t,गोवर्धन के मुख्य मार्ग (रोड सेगमेंट),4
सेमरी,"Semari
",,सेमरी,1
सेवाकुन्ज,Seva Kunj,,नगर पालिका वृन्दावन वार्ड 13 सेवाकुन्ज,2
सेहत,Sehta,,सेहत बांगर,1
सैकिण्ड,,t,कृष्णा नगर सैकिण्ड नगरपालिका मथुरा,4
सैमरी,Semari,,सैमरी,1
सैंया,Saiyan,,खेरागढ से सैंया रोड,3
सोनई,Sonai,,शहजादपुर टप्पा सोनई,1
सौख,,t,नगर पंचायत सौख वार्ड 01 जाटव सहज,10
सौंख,,t,कटरा मण्डी नगर पंचायत सौंख,10
सौहल्ला,,t,सौहल्ला,2
स्टेशन,Station,t,बगौर स्टेशन बाजार,1
स्थित,,t,मथुरा में स्थित मुख्य सडकें,2
स्वामीबाग,Swamibagh,,स्वामीबाग,2
हज्जाम,Hajjam,,गली हज्जाम,1
हनुमान,Hanuman,t,ट्यूबवैल कालोनी हनुमान नगर,5
हमीर,Hamir,,नगर पंचायत छाता (हमीर थोक),2
हरदेव,,t,नगर पालिक ा परिषद कोसीकलांॅ (हरदेवगंज),1
हरदेवगंज,Hardevganj,,नगर पालिक ा परिषद कोसीकलांॅ (हरदेवगंज),4
हरनाथिया,,t,मौहल्ला हरनाथिया राहमनपाडा नगर पंचायत छाता,1
हरिजन,Harijan,,नगर पंचायत राधाकुण्ड वार्ड 03 हरिजन,2
हरिश,,t,हरिश चन्द का बाडा नगर पंचायत गोवर्धन,1
हरी,,t,नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास बाहरी क्षेत्र),2
हरीपर्वत,Hariparwat,,हरीपर्वत,1
हरीपुरा,Haripura,t,हरीपुरा नगर पंचायत महावन,1
हंसारानी,,t,महल हंसारानी हरदेव नगर पंचायत गोवर्धन,1
हाथी,,t,हाथी दरवाजा नगर पंचायत गोवर्धन,1
हिगोट,Hingot,,हिगोट खेरिया,1
होली,,t,नगर पंचायत बरसाना (मौहल्ला होली टीला),4
ा,,t,37 ताजगंज,40
ान,,t,कल्यान सागर दितिय,1
ानूगोयान,,t,क ानूगोयान गली,1
ापुरी,,t,द्वारिक ापुरी,1
ाम्पलेक्स,,t,अपार्टमेन्ट व काम्पलेक्स,1
ाम्पलैक्स,,t,अपार्टमेंट व काम्पलैक्स,1
ारी,,t,अंसल ए पी आई पनवारी,1
ाला,,t,नगर पालिक ा परिषद कोसीकलांॅ (तालाब शाही),1
ाली,,t,कोतवाली,1
ालोनी,,t,अम्बेडकर नगर कालोनी,4
ास,,t,"आगरा, आगरा विकास प्राधिकारण आगरा",1
ृ,,y,अठखम्बा नगर पालिका वृन्दावन,1
्‌ग्रामीण,,t,्‌ग्रामीण क्षेत्र,1
